Line,ped.donor,N.blocks,N.mismatch.blocks,N.NA.blocks,N.donor.matches,best.matches
CML322/B73 NIL-1144,CML322,1,1,0,1,CML333
CML322/B73 NIL-1146,CML322,5,5,0,1,CML277
CML322/B73 NIL-1147,CML322,1,0,0,1,CML322
CML322/B73 NIL-1174B,CML322,1,0,0,1,CML322
CML322/B73 NIL-1194,CML322,2,0,0,1,CML322
CML322/B73 NIL-1198,CML322,2,0,0,1,CML322
CML322/B73 NIL-1215,CML322,4,0,4,0,NA
CML322/B73 NIL-1218,CML322,1,0,0,1,CML322
CML322/B73 NIL-1222,CML322,2,0,0,1,CML322
CML322/B73 NIL-1224,CML322,1,0,0,1,CML322
CML322/B73 NIL-1225,CML322,1,0,0,1,CML322
CML322/B73 NIL-1229,CML322,2,2,0,1,CML333
CML322/B73 NIL-1234,CML322,1,0,0,1,CML322
CML322/B73 NIL-1242,CML322,1,0,0,1,CML322
CML322/B73 NIL-1245,CML322,2,0,0,1,CML322
CML322/B73 NIL-1251,CML322,3,0,0,1,CML322
CML322/B73 NIL-1254,CML322,3,0,2,1,CML322
CML322/B73 NIL-1255,CML322,2,0,1,1,CML322
CML333/B73 NIL-1003,CML333,2,0,2,0,NA
CML333/B73 NIL-1008,CML333,2,0,0,1,CML333
CML333/B73 NIL-1009,CML333,1,0,0,1,CML333
CML333/B73 NIL-1013,CML333,2,0,0,1,CML333
CML333/B73 NIL-1014,CML333,2,0,0,1,CML333
CML333/B73 NIL-1015,CML333,1,0,0,1,CML333
CML333/B73 NIL-1031,CML333,2,1,0,2,CML333/Ki11
CML333/B73 NIL-1032,CML333,1,0,0,1,CML333
CML333/B73 NIL-1034,CML333,2,0,0,1,CML333
CML333/B73 NIL-1036,CML333,2,0,0,1,CML333
CML333/B73 NIL-1046,CML333,1,0,1,0,NA
CML333/B73 NIL-1047,CML333,1,0,0,1,CML333
CML333/B73 NIL-1048,CML333,1,0,0,1,CML333
CML333/B73 NIL-1052,CML333,2,0,1,1,CML333
CML333/B73 NIL-1055,CML333,1,0,0,1,CML333
CML333/B73 NIL-1061,CML333,2,0,0,1,CML333
CML333/B73 NIL-1075,CML333,1,0,0,1,CML333
CML333/B73 NIL-1077,CML333,2,0,0,1,CML333
CML333/B73 NIL-1081,CML333,4,4,0,1,CML322
CML333/B73 NIL-1087,CML333,1,0,0,1,CML333
CML333/B73 NIL-1089,CML333,2,0,1,1,CML333
CML333/B73 NIL-1092,CML333,5,3,2,1,B73
CML333/B73 NIL-1104,CML333,3,1,1,2,CML333/B73
CML333/B73 NIL-1107,CML333,3,0,0,1,CML333
CML333/B73 NIL-1108,CML333,1,0,0,1,CML333
CML333/B73 NIL-1109A,CML333,2,0,0,1,CML333
CML333/B73 NIL-1109B,CML333,2,0,0,1,CML333
CML333/B73 NIL-1111,CML333,1,0,0,1,CML333
CML333/B73 NIL-1112A,CML333,3,2,1,2,B73/CML69
CML333/B73 NIL-1116,CML333,2,2,0,1,B73
CML333/B73 NIL-1119A,CML333,5,0,4,1,CML333
CML333/B73 NIL-1119B,CML333,5,0,4,1,CML333
CML333/B73 NIL-1122,CML333,2,0,0,1,CML333
CML333/B73 NIL-1124,CML333,4,0,0,1,CML333
CML333/B73 NIL-1127,CML333,3,0,0,1,CML333
CML333/B73 NIL-1131,CML333,3,0,0,1,CML333
CML333/B73 NIL-1136,CML333,2,0,0,1,CML333
CML333/B73 NIL-1143,CML333,2,0,0,1,CML333
CML333/B73 NIL-1145,CML333,1,0,0,1,CML333
CML333/B73 NIL-1156,CML333,1,0,0,1,CML333
CML333/B73 NIL-1170,CML333,2,0,0,1,CML333
CML333/B73 NIL-1174,CML333,1,0,0,1,CML333
CML333/B73 NIL-1182,CML333,1,0,0,1,CML333
CML333/B73 NIL-1183,CML333,2,0,0,1,CML333
CML333/B73 NIL-1185,CML333,1,0,0,1,CML333
CML333/B73 NIL-1188A,CML333,2,0,0,1,CML333
CML333/B73 NIL-1193,CML333,1,0,0,1,CML333
CML333/B73 NIL-1199,CML333,3,0,0,1,CML333
CML333/B73 NIL-1201,CML333,4,1,1,2,CML333/B73
CML333/B73 NIL-1202B,CML333,1,0,0,1,CML333
CML333/B73 NIL-1209,CML333,4,0,2,1,CML333
CML333/B73 NIL-1217A,CML333,3,0,0,1,CML333
CML333/B73 NIL-1217B,CML333,2,0,1,1,CML333
CML333/B73 NIL-1220,CML333,3,2,0,2,CML333/B73
CML333/B73 NIL-1228,CML333,2,0,0,1,CML333
CML333/B73 NIL-1230,CML333,3,0,1,1,CML333
CML333/B73 NIL-1232,CML333,2,0,1,1,CML333
CML333/B73 NIL-1234,CML333,1,0,1,0,NA
CML333/B73 NIL-1243,CML333,2,0,0,1,CML333
CML333/B73 NIL-1253,CML333,3,0,0,1,CML333
CML333/B73 NIL-1260,CML333,1,0,0,1,CML333
CML333/B73 NIL-1269,CML333,1,0,0,1,CML333
CML333/B73 NIL-1270,CML333,1,0,0,1,CML333
CML333/B73 NIL-1275,CML333,2,0,0,1,CML333
CML333/B73 NIL-1276,CML333,1,0,0,1,CML333
CML333/B73 NIL-1279,CML333,1,0,0,1,CML333
CML333/B73 NIL-1281,CML333,2,0,0,1,CML333
CML333/B73 NIL-1290,CML333,2,1,0,2,B73/CML333
CML333/B73 NIL-1293,CML333,4,0,0,1,CML333
CML333/B73 NIL-1296,CML333,3,0,0,1,CML333
CML333/B73 NIL-1307,CML333,1,0,0,1,CML333
CML333/B73 NIL-1312,CML333,3,0,0,1,CML333
CML333/B73 NIL-1319,CML333,2,2,0,1,NC358
CML52/B73 NIL-1003,CML52,3,0,0,1,CML52
CML52/B73 NIL-1007,CML52,2,1,1,1,NC358
CML52/B73 NIL-1010A,CML52,1,0,0,1,CML52
CML52/B73 NIL-1010B,CML52,2,0,0,1,CML52
CML52/B73 NIL-1011,CML52,2,0,2,0,NA
CML52/B73 NIL-1015A,CML52,1,0,0,1,CML52
CML52/B73 NIL-1020,CML52,2,0,0,1,CML52
CML52/B73 NIL-1024,CML52,2,0,0,1,CML52
CML52/B73 NIL-1035,CML52,4,0,0,1,CML52
CML52/B73 NIL-1043,CML52,2,0,0,1,CML52
CML52/B73 NIL-1060,CML52,1,0,1,0,NA
CML52/B73 NIL-1063,CML52,3,3,0,1,NC358
CML52/B73 NIL-1065,CML52,4,3,1,1,NC358
CML52/B73 NIL-1069,CML52,4,3,1,1,NC358
CML52/B73 NIL-1070,CML52,2,2,0,1,NC358
CML52/B73 NIL-1076,CML52,3,0,1,1,CML52
CML52/B73 NIL-1079,CML52,2,2,0,1,NC358
CML52/B73 NIL-1083,CML52,2,2,0,1,NC358
CML52/B73 NIL-1086,CML52,3,3,0,2,NC358/B73
CML52/B73 NIL-1088,CML52,1,1,0,1,NC358
CML52/B73 NIL-1103,CML52,3,0,1,1,CML52
CML52/B73 NIL-1117,CML52,2,0,1,1,CML52
CML52/B73 NIL-1127,CML52,3,3,0,1,NC358
CML52/B73 NIL-1134,CML52,2,1,1,1,Oh43
CML52/B73 NIL-1160,CML52,2,0,1,1,CML52
CML52/B73 NIL-1164,CML52,2,2,0,1,NC358
CML52/B73 NIL-1165,CML52,3,1,0,2,NC358/CML52
CML52/B73 NIL-1167,CML52,1,0,1,0,NA
CML52/B73 NIL-1168,CML52,5,2,3,1,B73
CML52/B73 NIL-1175,CML52,2,1,1,1,NC358
CML52/B73 NIL-1181,CML52,4,2,2,1,NC358
CML52/B73 NIL-1192,CML52,1,1,0,1,NC358
CML52/B73 NIL-1204,CML52,3,3,0,1,CML69
CML52/B73 NIL-1207,CML52,1,1,0,1,Oh43
CML52/B73 NIL-1209,CML52,2,2,0,1,CML69
CML52/B73 NIL-1214A,CML52,1,1,0,1,NC358
CML52/B73 NIL-1214B,CML52,2,1,1,1,NC358
CML52/B73 NIL-1228,CML52,2,1,0,2,NC350/CML52
CML52/B73 NIL-1233,CML52,1,0,1,0,NA
CML52/B73 NIL-1235,CML52,1,0,1,0,NA
CML52/B73 NIL-1236,CML52,1,0,1,0,NA
CML52/B73 NIL-1237,CML52,3,3,0,1,Tx303
CML52/B73 NIL-1244,CML52,1,1,0,1,NC358
CML52/B73 NIL-1271,CML52,1,1,0,1,NC358
CML52/B73 NIL-1287,CML52,3,3,0,1,Oh43
CML52/B73 NIL-1292,CML52,1,0,0,1,CML52
CML52/B73 NIL-1294,CML52,1,0,0,1,CML52
