Line,ped.donor,best.matches,all.intros.match.ped,N.blocks.unfiltered,Total.Intro.Sizes.Unfiltered,Total.Intro.Prop.Unfiltered,N.blocks.filtered,N.mismatch.blocks,N.NA.blocks,N.donor.matches
CML247/B73 NIL-1063,CML247,CML247,TRUE,1,13875573.5,0.00654508183962264,1,0,0,1
CML247/B73 NIL-1065,CML247,CML247,TRUE,3,188776703.5,0.0890456148584906,3,0,0,1
CML247/B73 NIL-1070,CML247,CML247,TRUE,4,101225877.5,0.0477480554245283,2,0,0,1
CML247/B73 NIL-1072,CML247,CML247,TRUE,2,129569132,0.0611175150943396,2,0,1,1
CML247/B73 NIL-1075,CML247,CML247,TRUE,2,8279474,0.00390541226415094,2,0,1,1
CML247/B73 NIL-1082,CML247,CML247,TRUE,2,8130721.5,0.00383524599056604,1,0,0,1
CML247/B73 NIL-1083,CML247,NA,FALSE,2,1322746,0.00062393679245283,NA,NA,NA,NA
CML247/B73 NIL-1090,CML247,CML247,TRUE,4,18857463,0.00889502971698113,2,0,0,1
CML247/B73 NIL-1104,CML247,CML247,TRUE,3,26798788.5,0.0126409379716981,3,0,0,1
CML247/B73 NIL-1105,CML247,CML247,TRUE,2,18912725.5,0.00892109693396226,2,0,0,1
CML247/B73 NIL-1106,CML247,CML247,TRUE,2,8536808,0.00402679622641509,1,0,0,1
CML247/B73 NIL-1107,CML247,CML247,TRUE,2,7546037,0.00355945141509434,2,0,0,1
CML247/B73 NIL-1110,CML247,CML247,TRUE,3,6441988.5,0.00303867382075472,2,0,0,1
CML247/B73 NIL-1125,CML247,CML247,TRUE,1,11870107,0.0055991070754717,1,0,0,1
CML247/B73 NIL-1128,CML247,CML247,TRUE,3,26481142.5,0.0124911049528302,2,0,0,1
CML247/B73 NIL-1130,CML247,CML247,TRUE,4,61918632,0.0292069018867925,2,0,0,1
CML247/B73 NIL-1131,CML247,CML247,TRUE,2,5604212.5,0.00264349646226415,1,0,0,1
CML247/B73 NIL-1139,CML247,CML277,FALSE,2,2319294.5,0.00109400683962264,1,1,0,1
CML247/B73 NIL-1154,CML247,NA,FALSE,2,1689820.5,0.000797085141509434,NA,NA,NA,NA
CML247/B73 NIL-1164,CML247,CML247,TRUE,2,14295024.5,0.00674293608490566,2,0,0,1
CML247/B73 NIL-1179,CML247,CML247,TRUE,1,1886144.5,0.000889690801886792,1,0,0,1
CML247/B73 NIL-1180,CML247,CML247,TRUE,1,3635986,0.00171508773584906,1,0,0,1
CML247/B73 NIL-1181,CML247,CML247,TRUE,2,4145741.5,0.00195553844339623,1,0,0,1
CML247/B73 NIL-1186,CML247,CML277,FALSE,6,83488141.5,0.0393811988207547,4,3,1,1
CML247/B73 NIL-1190,CML247,CML277,FALSE,3,140168923,0.066117416509434,2,2,0,1
CML247/B73 NIL-1194,CML247,CML247,TRUE,5,17030477,0.00803324386792453,4,0,0,1
CML247/B73 NIL-1201,CML247,CML247,TRUE,1,10075496.5,0.00475259268867925,1,0,0,1
CML247/B73 NIL-1206,CML247,CML277,FALSE,6,12951613,0.00610925141509434,4,4,0,1
CML247/B73 NIL-1218,CML247,CML247,TRUE,3,24350105.5,0.0114858988207547,2,0,0,1
CML247/B73 NIL-1241,CML247,CML247,TRUE,3,16678080,0.00786701886792453,2,0,0,1
CML247/B73 NIL-1246A,CML247,CML247,TRUE,1,4208404.5,0.00198509646226415,1,0,0,1
CML247/B73 NIL-1253,CML247,CML247,TRUE,2,82670630.5,0.0389955804245283,2,0,0,1
CML247/B73 NIL-1254,CML247,CML247,TRUE,1,7146754.5,0.00337111061320755,1,0,0,1
CML247/B73 NIL-1262,CML247,CML247,TRUE,1,8502650,0.00401068396226415,1,0,0,1
CML247/B73 NIL-1277,CML247,CML247,TRUE,1,2710954.5,0.00127875212264151,1,0,0,1
CML277/B73 NIL-1004,CML277,CML277,TRUE,1,3321615,0.00156679952830189,1,0,0,1
CML277/B73 NIL-1006,CML277,NA,FALSE,1,321521.5,0.00015166108490566,NA,NA,NA,NA
CML277/B73 NIL-1007,CML277,CML322,FALSE,4,6522420,0.00307661320754717,2,2,0,1
