,Line,N.blocks,N.mismatch.blocks,N.NA.blocks,N.donor.matches
563,Tx303/B73 NIL-1208,4,0,1,1
564,Tx303/B73 NIL-1209A,3,0,0,1
565,Tx303/B73 NIL-1220,1,0,0,1
566,Tx303/B73 NIL-1231,1,0,0,1
567,Tx303/B73 NIL-1241,1,0,0,1
568,Tx303/B73 NIL-1248,2,0,1,1
569,Tzi8/B73 NIL-1021,2,0,1,1
570,Tzi8/B73 NIL-1026,2,0,1,1
571,Tzi8/B73 NIL-1027,2,0,0,1
572,Tzi8/B73 NIL-1039,2,0,0,1
573,Tzi8/B73 NIL-1041,2,0,0,1
574,Tzi8/B73 NIL-1045A,3,0,0,1
575,Tzi8/B73 NIL-1056,2,0,1,1
576,Tzi8/B73 NIL-1060A,3,0,0,1
577,Tzi8/B73 NIL-1060B,3,0,0,1
578,Tzi8/B73 NIL-1064,1,0,1,0
579,Tzi8/B73 NIL-1069,1,0,0,1
580,Tzi8/B73 NIL-1072,2,0,1,1
581,Tzi8/B73 NIL-1088,3,0,1,1
582,Tzi8/B73 NIL-1133C,3,0,1,1
583,Tzi8/B73 NIL-1140,2,0,0,1
584,Tzi8/B73 NIL-1143,2,0,0,1
585,Tzi8/B73 NIL-1148B,2,0,0,1
586,Tzi8/B73 NIL-1157,3,0,3,0
587,Tzi8/B73 NIL-1160,1,0,1,0
588,Tzi8/B73 NIL-1189,1,0,0,1
589,Tzi8/B73 NIL-1190,1,0,0,1
590,Tzi8/B73 NIL-1201,1,0,0,1
591,Tzi8/B73 NIL-1213,3,0,1,1
592,Tzi8/B73 NIL-1215,3,0,0,1
593,Tzi8/B73 NIL-1216,1,0,0,1
594,Tzi8/B73 NIL-1218,2,0,0,1
595,Tzi8/B73 NIL-1219,4,0,2,1
596,Tzi8/B73 NIL-1230,6,0,2,1
597,Tzi8/B73 NIL-1234,4,0,1,1
598,Tzi8/B73 NIL-1241,2,0,0,1
599,Tzi8/B73 NIL-1251,1,0,0,1
600,Tzi8/B73 NIL-1258,1,0,0,1
601,Tzi8/B73 NIL-1271,2,0,0,1
602,Tzi8/B73 NIL-1277,2,0,1,1
603,Tzi8/B73 NIL-1280,1,0,0,1
604,Tzi8/B73 NIL-1281,3,0,0,1
605,Tzi8/B73 NIL-1282,2,0,0,1
606,Tzi8/B73 NIL-1285,2,0,1,1
607,Tzi8/B73 NIL-1305,4,0,1,1
608,Tzi8/B73 NIL-1308,1,0,1,0
609,Tzi8/B73 NIL-1310,2,0,1,1
610,Tzi8/B73 NIL-1312,1,0,0,1
611,Tzi8/B73 NIL-1314,1,0,0,1
612,Tzi8/B73 NIL-1321,2,0,1,1
613,Tzi8/B73 NIL-1322,2,0,1,1
614,Tzi8/B73 NIL-1333,2,0,2,0
615,Tzi8/B73 NIL-1338,1,0,0,1
616,CML103/B73 NIL-1017,2,1,1,1
617,CML103/B73 NIL-1053,2,1,1,1
618,CML103/B73 NIL-1059,1,1,0,1
619,CML103/B73 NIL-1076A,5,1,1,2
620,CML103/B73 NIL-1076B,3,1,0,2
621,CML103/B73 NIL-1078A,2,1,0,2
622,CML103/B73 NIL-1081A,5,1,1,2
623,CML103/B73 NIL-1084,2,1,1,1
624,CML103/B73 NIL-1088,1,1,0,1
625,CML103/B73 NIL-1113,3,1,2,1
626,CML103/B73 NIL-1114,1,1,0,1
627,CML103/B73 NIL-1116,2,1,1,1
628,CML103/B73 NIL-1141,2,1,1,1
629,CML103/B73 NIL-1152,3,1,0,2
630,CML103/B73 NIL-1158,1,1,0,1
631,CML103/B73 NIL-1164,5,1,0,2
632,CML103/B73 NIL-1165,2,1,0,2
633,CML103/B73 NIL-1177,3,1,1,2
634,CML103/B73 NIL-1216,1,1,0,1
635,CML103/B73 NIL-1230,4,1,3,1
636,CML103/B73 NIL-1244,2,1,0,2
637,CML103/B73 NIL-1281,2,1,1,1
638,CML228/B73 NIL-1055,2,1,1,1
639,CML228/B73 NIL-1067,3,1,1,2
640,CML228/B73 NIL-1085,4,1,2,2
641,CML228/B73 NIL-1117A,4,1,0,2
642,CML228/B73 NIL-1117B,4,1,0,2
643,CML228/B73 NIL-1118A,3,1,0,2
644,CML228/B73 NIL-1119,3,1,0,2
645,CML228/B73 NIL-1188,4,1,1,2
646,CML228/B73 NIL-1217A,2,1,0,2
647,CML228/B73 NIL-1217B,2,1,0,2
648,CML247/B73 NIL-1139,1,1,0,1
649,CML277/B73 NIL-1048,1,1,0,1
650,CML277/B73 NIL-1116,1,1,0,1
651,CML277/B73 NIL-1122,1,1,0,1
652,CML277/B73 NIL-1136,1,1,0,1
653,CML322/B73 NIL-1144,1,1,0,1
654,CML333/B73 NIL-1031,2,1,0,2
655,CML333/B73 NIL-1104,3,1,1,2
656,CML333/B73 NIL-1201,4,1,1,2
657,CML333/B73 NIL-1290,2,1,0,2
658,CML52/B73 NIL-1007,2,1,1,1
659,CML52/B73 NIL-1088,1,1,0,1
660,CML52/B73 NIL-1134,2,1,1,1
661,CML52/B73 NIL-1165,3,1,0,2
662,CML52/B73 NIL-1175,2,1,1,1
663,CML52/B73 NIL-1192,1,1,0,1
664,CML52/B73 NIL-1207,1,1,0,1
665,CML52/B73 NIL-1214A,1,1,0,1
666,CML52/B73 NIL-1214B,2,1,1,1
667,CML52/B73 NIL-1228,2,1,0,2
668,CML52/B73 NIL-1244,1,1,0,1
669,CML52/B73 NIL-1271,1,1,0,1
670,CML52/B73 NIL-1319,1,1,0,1
671,CML52/B73 NIL-1321,4,1,0,2
672,CML52/B73 NIL-1327,1,1,0,1
673,CML69/B73 NIL-1005,1,1,0,1
674,CML69/B73 NIL-1070,1,1,0,1
675,CML69/B73 NIL-1073,2,1,1,1
676,CML69/B73 NIL-1135A,4,1,0,2
677,CML69/B73 NIL-1189,2,1,1,1
678,CML69/B73 NIL-1232,1,1,0,1
679,Ki11/B73 NIL-1125,4,1,2,2
680,Ki11/B73 NIL-1169,4,1,0,2
681,Ki3/B73 NIL-1043A,2,1,0,2
682,Ki3/B73 NIL-1107,2,1,1,1
683,Ki3/B73 NIL-1123,1,1,0,1
684,Ki3/B73 NIL-1185,4,1,1,2
685,Ki3/B73 NIL-1186,3,1,0,2
686,Ki3/B73 NIL-1244,1,1,0,1
687,Mo17/B73 NIL-1306,2,1,1,1
688,Mo18W/B73 NIL-1026,3,1,0,2
689,Mo18W/B73 NIL-1068,2,1,0,2
690,Mo18W/B73 NIL-1099,7,1,6,1
691,Mo18W/B73 NIL-1105,1,1,0,1
692,Mo18W/B73 NIL-1106,5,1,3,2
693,NC350/B73 NIL-1013,2,1,0,2
694,NC350/B73 NIL-1065,1,1,0,1
695,NC350/B73 NIL-1101,4,1,2,2
696,NC350/B73 NIL-1114,1,1,0,1
697,NC350/B73 NIL-1128,1,1,0,1
698,NC358/B73 NIL-1035,2,1,1,1
699,NC358/B73 NIL-1080,2,1,1,1
700,NC358/B73 NIL-1108,2,1,1,1
701,NC358/B73 NIL-1132,3,1,1,2
702,NC358/B73 NIL-1165,2,1,1,1
703,NC358/B73 NIL-1166,1,1,0,1
704,NC358/B73 NIL-1179,3,1,2,1
705,NC358/B73 NIL-1233,3,1,2,1
706,Oh43/B73 NIL-1002,1,1,0,1
707,Oh43/B73 NIL-1008,2,1,1,1
708,Oh43/B73 NIL-1017,2,1,1,1
709,Oh43/B73 NIL-1023B,1,1,0,1
710,Oh43/B73 NIL-1053,1,1,0,1
711,Oh43/B73 NIL-1195,2,1,1,1
712,Oh43/B73 NIL-1230,2,1,1,1
713,Oh43/B73 NIL-1250,3,1,2,1
714,Oh43/B73 NIL-1308,1,1,0,1
715,Tx303/B73 NIL-1011A,2,1,0,2
716,Tx303/B73 NIL-1015,2,1,1,1
717,Tx303/B73 NIL-1025,1,1,0,1
718,Tx303/B73 NIL-1073,3,1,0,2
719,Tx303/B73 NIL-1078,1,1,0,1
720,Tx303/B73 NIL-1080,3,1,0,2
721,Tx303/B73 NIL-1151,5,1,3,2
722,Tx303/B73 NIL-1164,3,1,0,2
723,Tx303/B73 NIL-1214,1,1,0,1
724,Tx303/B73 NIL-1246,2,1,1,1
725,Tzi8/B73 NIL-1034,4,1,0,2
726,Tzi8/B73 NIL-1036,4,1,1,2
727,Tzi8/B73 NIL-1154,3,1,1,2
728,Tzi8/B73 NIL-1165,5,1,0,2
729,Tzi8/B73 NIL-1176,7,1,3,2
730,Tzi8/B73 NIL-1186,5,1,4,1
731,Tzi8/B73 NIL-1220,6,1,3,2
732,CML103/B73 NIL-1079A,4,2,0,2
733,CML103/B73 NIL-1079B,4,2,0,2
734,CML103/B73 NIL-1079C,6,2,0,2
735,CML103/B73 NIL-1079D,6,2,1,2
736,CML103/B73 NIL-1081B,5,2,1,2
737,CML103/B73 NIL-1174,2,2,0,1
738,CML103/B73 NIL-1178,2,2,0,1
739,CML103/B73 NIL-1212,2,2,0,1
740,CML103/B73 NIL-1217,2,2,0,1
741,CML103/B73 NIL-1220,3,2,1,1
742,CML103/B73 NIL-1252,3,2,1,1
743,CML103/B73 NIL-1331,4,2,1,2
744,CML228/B73 NIL-1121,2,2,0,1
745,CML228/B73 NIL-1160B,2,2,0,1
746,CML247/B73 NIL-1005A,30,2,28,2
747,CML247/B73 NIL-1190,2,2,0,1
748,CML277/B73 NIL-1007,2,2,0,1
749,CML277/B73 NIL-1008,2,2,0,1
750,CML322/B73 NIL-1097,2,2,0,1
751,CML322/B73 NIL-1229,2,2,0,1
752,CML333/B73 NIL-1112A,3,2,1,2
753,CML333/B73 NIL-1116,2,2,0,1
754,CML333/B73 NIL-1220,3,2,0,2
755,CML333/B73 NIL-1319,2,2,0,1
756,CML52/B73 NIL-1070,2,2,0,1
757,CML52/B73 NIL-1079,2,2,0,1
758,CML52/B73 NIL-1083,2,2,0,1
759,CML52/B73 NIL-1164,2,2,0,1
760,CML52/B73 NIL-1168,5,2,3,1
761,CML52/B73 NIL-1181,4,2,2,1
762,CML52/B73 NIL-1209,2,2,0,1
763,CML52/B73 NIL-1317,2,2,0,1
764,CML69/B73 NIL-1029,4,2,2,1
765,Ki11/B73 NIL-1038,2,2,0,2
766,Ki11/B73 NIL-1123,3,2,0,2
767,Ki11/B73 NIL-1233,2,2,0,1
768,Ki3/B73 NIL-1024,2,2,0,1
769,Ki3/B73 NIL-1025,2,2,0,1
770,Ki3/B73 NIL-1083,2,2,0,1
771,Ki3/B73 NIL-1215,4,2,0,2
772,Mo17/B73 NIL-1301,2,2,0,1
773,NC350/B73 NIL-1073B,2,2,0,1
774,NC350/B73 NIL-1127,3,2,0,2
775,NC350/B73 NIL-1185,2,2,0,1
776,NC350/B73 NIL-1265,2,2,0,1
777,NC358/B73 NIL-1075,2,2,0,1
778,NC358/B73 NIL-1183,3,2,1,1
779,NC358/B73 NIL-1204,2,2,0,1
780,Oh43/B73 NIL-1059B,2,2,0,1
781,Oh43/B73 NIL-1246,6,2,3,2
782,Tx303/B73 NIL-1005,4,2,0,2
783,Tx303/B73 NIL-1010,5,2,0,2
784,Tx303/B73 NIL-1017,2,2,0,1
785,Tx303/B73 NIL-1045,2,2,0,1
786,Tx303/B73 NIL-1072,3,2,1,1
787,Tx303/B73 NIL-1085C,2,2,0,1
788,Tzi8/B73 NIL-1153,4,2,1,3
789,CML228/B73 NIL-1134B,3,3,0,1
790,CML228/B73 NIL-1138,3,3,0,1
791,CML228/B73 NIL-1143,3,3,0,1
792,CML228/B73 NIL-1160A,3,3,0,2
793,CML247/B73 NIL-1186,4,3,1,1
794,CML277/B73 NIL-1061,3,3,0,1
795,CML277/B73 NIL-1069,3,3,0,1
796,CML277/B73 NIL-1175,3,3,0,1
797,CML333/B73 NIL-1092,5,3,2,1
798,CML52/B73 NIL-1063,3,3,0,1
799,CML52/B73 NIL-1065,4,3,1,1
800,CML52/B73 NIL-1069,4,3,1,1
801,CML52/B73 NIL-1086,3,3,0,2
802,CML52/B73 NIL-1127,3,3,0,1
803,CML52/B73 NIL-1204,3,3,0,1
804,CML52/B73 NIL-1237,3,3,0,1
805,CML52/B73 NIL-1287,3,3,0,1
806,CML52/B73 NIL-1314,3,3,0,2
807,CML69/B73 NIL-1079,5,3,1,3
808,Ki3/B73 NIL-1119,4,3,1,1
809,Mo17/B73 NIL-1314,4,3,1,2
810,NC350/B73 NIL-1068,3,3,0,2
811,NC350/B73 NIL-1153A,3,3,0,1
812,NC350/B73 NIL-1153B,3,3,0,1
813,NC350/B73 NIL-1157,4,3,1,2
814,NC350/B73 NIL-1182,5,3,1,2
815,NC350/B73 NIL-1183,4,3,0,2
816,NC358/B73 NIL-1084,3,3,0,1
817,NC358/B73 NIL-1151,4,3,1,1
818,Oh43/B73 NIL-1021,3,3,0,1
819,Oh43/B73 NIL-1031,3,3,0,1
820,Oh43/B73 NIL-1099,5,3,1,3
821,Oh43/B73 NIL-1135,3,3,0,1
822,Oh43/B73 NIL-1142,3,3,0,1
823,Oh43/B73 NIL-1143,6,3,1,2
824,Oh43/B73 NIL-1171,3,3,0,1
825,Oh43/B73 NIL-1199,3,3,0,2
826,Oh43/B73 NIL-1306,5,3,2,2
827,CML103/B73 NIL-1098,5,4,1,1
828,CML103/B73 NIL-1242,7,4,0,2
829,CML247/B73 NIL-1015,32,4,28,1
830,CML247/B73 NIL-1206,4,4,0,1
831,CML333/B73 NIL-1081,4,4,0,1
832,CML69/B73 NIL-1081,7,4,0,2
833,CML69/B73 NIL-1185,6,4,0,2
834,Ki11/B73 NIL-1129A,7,4,2,3
835,Ki11/B73 NIL-1129B,9,4,3,3
836,Oh43/B73 NIL-1005,4,4,0,2
837,Oh43/B73 NIL-1055,4,4,0,1
838,Oh43/B73 NIL-1145,6,4,0,2
839,Oh43/B73 NIL-1307,5,4,1,1
840,Tx303/B73 NIL-1019,4,4,0,1
841,Tx303/B73 NIL-1218,7,4,3,2
842,CML322/B73 NIL-1146,5,5,0,1
843,Ki11/B73 NIL-1128,10,5,3,3
844,Ki3/B73 NIL-1258,5,5,0,1
845,Mo18W/B73 NIL-1065,5,5,0,1
846,NC358/B73 NIL-1052,5,5,0,2
847,Tx303/B73 NIL-1201,7,5,2,1
848,Tzi8/B73 NIL-1101,10,5,4,3
849,Tzi8/B73 NIL-1107,9,5,2,4
850,NC358/B73 NIL-1114,10,6,2,4
851,NC358/B73 NIL-1154,9,7,2,2
852,Tx303/B73 NIL-1209C,13,10,3,2
853,NC358/B73 NIL-1111,14,13,1,3
