,Line,N.blocks,N.mismatch.blocks,N.NA.blocks,N.donor.matches
131,CML277/B73 NIL-1132A,2,0,1,1
132,CML277/B73 NIL-1135,2,0,0,1
133,CML277/B73 NIL-1140,7,0,1,1
134,CML277/B73 NIL-1145,3,0,0,1
135,CML277/B73 NIL-1179,1,0,0,1
136,CML277/B73 NIL-1180,1,0,0,1
137,CML277/B73 NIL-1183,2,0,0,1
138,CML277/B73 NIL-1234A,1,0,0,1
139,CML277/B73 NIL-1234B,1,0,0,1
140,CML277/B73 NIL-1235A,1,0,0,1
141,CML277/B73 NIL-1235B,1,0,0,1
142,CML277/B73 NIL-1263,1,0,0,1
143,CML277/B73 NIL-1280,3,0,0,1
144,CML277/B73 NIL-1281,2,0,0,1
145,CML277/B73 NIL-1282,4,0,0,1
146,CML277/B73 NIL-1283,4,0,0,1
147,CML277/B73 NIL-1296,2,0,0,1
148,CML277/B73 NIL-1314,1,0,0,1
149,CML322/B73 NIL-1003,2,0,0,1
150,CML322/B73 NIL-1004,1,0,0,1
151,CML322/B73 NIL-1016,3,0,0,1
152,CML322/B73 NIL-1018A,2,0,0,1
153,CML322/B73 NIL-1021,2,0,0,1
154,CML322/B73 NIL-1030B,3,0,0,1
155,CML322/B73 NIL-1037,1,0,0,1
156,CML322/B73 NIL-1048,2,0,0,1
157,CML322/B73 NIL-1051,5,0,0,1
158,CML322/B73 NIL-1053A,3,0,0,1
159,CML322/B73 NIL-1060,2,0,0,1
160,CML322/B73 NIL-1061,1,0,0,1
161,CML322/B73 NIL-1069,2,0,0,1
162,CML322/B73 NIL-1074,2,0,0,1
163,CML322/B73 NIL-1076,1,0,0,1
164,CML322/B73 NIL-1083,4,0,0,1
165,CML322/B73 NIL-1094,1,0,0,1
166,CML322/B73 NIL-1098,1,0,0,1
167,CML322/B73 NIL-1101,2,0,0,1
168,CML322/B73 NIL-1103,3,0,0,1
169,CML322/B73 NIL-1147,1,0,0,1
170,CML322/B73 NIL-1174B,1,0,0,1
171,CML322/B73 NIL-1194,2,0,0,1
172,CML322/B73 NIL-1198,2,0,0,1
173,CML322/B73 NIL-1215,4,0,4,0
174,CML322/B73 NIL-1218,1,0,0,1
175,CML322/B73 NIL-1222,2,0,0,1
176,CML322/B73 NIL-1224,1,0,0,1
177,CML322/B73 NIL-1225,1,0,0,1
178,CML322/B73 NIL-1234,1,0,0,1
179,CML322/B73 NIL-1242,1,0,0,1
180,CML322/B73 NIL-1245,2,0,0,1
181,CML322/B73 NIL-1251,3,0,0,1
182,CML322/B73 NIL-1254,3,0,2,1
183,CML322/B73 NIL-1255,2,0,1,1
184,CML333/B73 NIL-1003,2,0,2,0
185,CML333/B73 NIL-1008,2,0,0,1
186,CML333/B73 NIL-1009,1,0,0,1
187,CML333/B73 NIL-1013,2,0,0,1
188,CML333/B73 NIL-1014,2,0,0,1
189,CML333/B73 NIL-1015,1,0,0,1
190,CML333/B73 NIL-1032,1,0,0,1
191,CML333/B73 NIL-1034,2,0,0,1
192,CML333/B73 NIL-1036,2,0,0,1
193,CML333/B73 NIL-1046,1,0,1,0
194,CML333/B73 NIL-1047,1,0,0,1
195,CML333/B73 NIL-1048,1,0,0,1
196,CML333/B73 NIL-1052,2,0,1,1
197,CML333/B73 NIL-1055,1,0,0,1
198,CML333/B73 NIL-1061,2,0,0,1
199,CML333/B73 NIL-1075,1,0,0,1
200,CML333/B73 NIL-1077,2,0,0,1
201,CML333/B73 NIL-1087,1,0,0,1
202,CML333/B73 NIL-1089,2,0,1,1
203,CML333/B73 NIL-1107,3,0,0,1
204,CML333/B73 NIL-1108,1,0,0,1
205,CML333/B73 NIL-1109A,2,0,0,1
206,CML333/B73 NIL-1109B,2,0,0,1
207,CML333/B73 NIL-1111,1,0,0,1
208,CML333/B73 NIL-1119A,5,0,4,1
209,CML333/B73 NIL-1119B,5,0,4,1
210,CML333/B73 NIL-1122,2,0,0,1
211,CML333/B73 NIL-1124,4,0,0,1
212,CML333/B73 NIL-1127,3,0,0,1
213,CML333/B73 NIL-1131,3,0,0,1
214,CML333/B73 NIL-1136,2,0,0,1
215,CML333/B73 NIL-1143,2,0,0,1
216,CML333/B73 NIL-1145,1,0,0,1
217,CML333/B73 NIL-1156,1,0,0,1
218,CML333/B73 NIL-1170,2,0,0,1
219,CML333/B73 NIL-1174,1,0,0,1
220,CML333/B73 NIL-1182,1,0,0,1
221,CML333/B73 NIL-1183,2,0,0,1
222,CML333/B73 NIL-1185,1,0,0,1
223,CML333/B73 NIL-1188A,2,0,0,1
224,CML333/B73 NIL-1193,1,0,0,1
225,CML333/B73 NIL-1199,3,0,0,1
226,CML333/B73 NIL-1202B,1,0,0,1
227,CML333/B73 NIL-1209,4,0,2,1
228,CML333/B73 NIL-1217A,3,0,0,1
229,CML333/B73 NIL-1217B,2,0,1,1
230,CML333/B73 NIL-1228,2,0,0,1
231,CML333/B73 NIL-1230,3,0,1,1
232,CML333/B73 NIL-1232,2,0,1,1
233,CML333/B73 NIL-1234,1,0,1,0
234,CML333/B73 NIL-1243,2,0,0,1
235,CML333/B73 NIL-1253,3,0,0,1
236,CML333/B73 NIL-1260,1,0,0,1
237,CML333/B73 NIL-1269,1,0,0,1
238,CML333/B73 NIL-1270,1,0,0,1
239,CML333/B73 NIL-1275,2,0,0,1
240,CML333/B73 NIL-1276,1,0,0,1
241,CML333/B73 NIL-1279,1,0,0,1
242,CML333/B73 NIL-1281,2,0,0,1
243,CML333/B73 NIL-1293,4,0,0,1
244,CML333/B73 NIL-1296,3,0,0,1
245,CML333/B73 NIL-1307,1,0,0,1
246,CML333/B73 NIL-1312,3,0,0,1
247,CML52/B73 NIL-1003,3,0,0,1
248,CML52/B73 NIL-1010A,1,0,0,1
249,CML52/B73 NIL-1010B,2,0,0,1
250,CML52/B73 NIL-1011,2,0,2,0
251,CML52/B73 NIL-1015A,1,0,0,1
252,CML52/B73 NIL-1020,2,0,0,1
253,CML52/B73 NIL-1024,2,0,0,1
254,CML52/B73 NIL-1035,4,0,0,1
255,CML52/B73 NIL-1043,2,0,0,1
256,CML52/B73 NIL-1060,1,0,1,0
257,CML52/B73 NIL-1076,3,0,1,1
258,CML52/B73 NIL-1103,3,0,1,1
259,CML52/B73 NIL-1117,2,0,1,1
260,CML52/B73 NIL-1160,2,0,1,1
261,CML52/B73 NIL-1167,1,0,1,0
262,CML52/B73 NIL-1233,1,0,1,0
263,CML52/B73 NIL-1235,1,0,1,0
