Method,nir,germ,gert,p,r,B73hetMean,DonorhetMean,NILhetMean,B73homozIntroMean,DonorhomozIntroMean,NILhomozIntroMean,PercNILsNoIntro
Chip,0.001,0.0001,0.0001,0.1,0.0008026970621287526,0.0,0.009788444729847844,0.002247551773960507,0.0,0.49790183906815794,0.02436886350837226,0.0
Chip,0.001,0.0001,0.0001,0.1,0.0016053941242575051,0.0,0.015046110486791173,0.002501102115807526,0.0,0.46043149426517543,0.022546868589572073,0.0
Chip,0.001,0.0001,0.0001,0.1,0.0032107882485150102,0.0,0.015206649899216926,0.002366045149798561,0.0,0.46117621876170606,0.0225736251583097,0.0
Chip,0.001,0.0001,0.0001,0.25,0.0008026970621287526,0.0,0.007853052924492962,0.0021226877865182566,0.0,0.5027559265799754,0.02461476911629424,0.0
Chip,0.001,0.0001,0.0001,0.25,0.0016053941242575051,0.0,0.009248853926972405,0.0021876680248810606,0.0,0.4661507108328428,0.022850109701931822,0.0
Chip,0.001,0.0001,0.0001,0.25,0.0032107882485150102,0.0,0.015032732202422362,0.002366045149798561,0.0,0.4781510319116677,0.023369951608834254,0.0
Chip,0.001,0.0001,0.0001,0.5,0.0008026970621287526,0.0,0.007052585576425679,0.0020500628142304175,0.0,0.5057838782754499,0.024715424779640536,0.0
Chip,0.001,0.0001,0.0001,0.5,0.0016053941242575051,0.0,0.007447244965305649,0.0020602557927971317,0.0,0.46735475642603586,0.022850109701931822,0.0
Chip,0.001,0.0001,0.0001,0.5,0.0032107882485150102,0.0,0.007962308913504933,0.002000372043717685,0.0,0.4853530083302117,0.023710142268498345,0.0
Chip,0.001,0.0001,0.0001,0.75,0.0008026970621287526,0.0,0.006742655321881522,0.0020449663249470598,0.0,0.5179358199104547,0.025221251341013738,0.0
Chip,0.001,0.0001,0.0001,0.75,0.0016053941242575051,0.0,0.0074338666809368355,0.002058981670476292,0.0,0.48581455914093574,0.023767477772936113,0.0
Chip,0.001,0.0001,0.0001,0.75,0.0032107882485150102,0.0,0.00748292039028915,0.0019506812732049527,0.0,0.4859505716986854,0.023767477772936113,0.0
Chip,0.001,0.0001,0.0001,0.9,0.0008026970621287526,0.0,0.0064081982126612085,0.0020334992240595064,0.0,0.5282482474447477,0.02574491561487869,0.0
Chip,0.001,0.0001,0.0001,0.9,0.0016053941242575051,0.0,0.007384812971584523,0.002058981670476292,0.0,0.48587699113465693,0.023767477772936113,0.0
Chip,0.001,0.0001,0.0001,0.9,0.0032107882485150102,0.0,0.007485150104350619,0.0019545036401674705,0.0,0.4859817876955459,0.023767477772936113,0.0
Chip,0.001,0.0001,0.001,0.1,0.0008026970621287526,0.0,0.011886605661689947,0.002405542941744579,0.0,0.49635441750949855,0.02428731967983854,0.0
Chip,0.001,0.0001,0.001,0.1,0.0016053941242575051,0.0,0.017318189115427835,0.0026081283907580257,0.0,0.45886177556590146,0.02248316247353011,0.0
Chip,0.001,0.0001,0.001,0.1,0.0032107882485150102,0.0,0.021081946451187106,0.00265527091662908,0.0,0.45887961327839316,0.02248188835120927,0.0
Chip,0.001,0.0001,0.001,0.25,0.0008026970621287526,0.0,0.010606749790406877,0.0022755824650189716,0.0,0.5004437130982322,0.024496275740456187,0.0
Chip,0.001,0.0001,0.001,0.25,0.0016053941242575051,0.0,0.01094566632775013,0.002283227198944007,0.0,0.4649823406646332,0.022795322442135734,0.0
Chip,0.001,0.0001,0.001,0.25,0.0032107882485150102,0.0,0.01940743119102406,0.00258392006666208,0.0,0.47741076684326006,0.0233648551195509,0.0
Chip,0.001,0.0001,0.001,0.5,0.0008026970621287526,0.0,0.009516419614348655,0.0022182469605812037,0.0,0.503743689909206,0.024604576137727523,0.0
Chip,0.001,0.0001,0.001,0.5,0.0016053941242575051,0.0,0.010080537271900251,0.0022360846730729534,0.0,0.46509159665364513,0.02275072816090636,0.0
Chip,0.001,0.0001,0.001,0.5,0.0032107882485150102,0.0,0.010312427534293003,0.002127784275801614,0.0,0.4830430245625301,0.023586552403376936,0.0
Chip,0.001,0.0001,0.001,0.75,0.0008026970621287526,0.0,0.008388184299245463,0.002113768930272382,0.0,0.5166292074704341,0.025161367591934294,0.0
Chip,0.001,0.0001,0.001,0.75,0.0016053941242575051,0.0,0.00985310643763044,0.0021825715355977032,0.0,0.48383457305435157,0.023659177375664777,0.0
Chip,0.001,0.0001,0.001,0.75,0.0032107882485150102,0.0,0.013126326679866573,0.002304887278398275,0.0,0.4836829524981716,0.023638791418531344,0.0
Chip,0.001,0.0001,0.001,0.9,0.0008026970621287526,0.0,0.008403792297675745,0.0021163171749140606,0.0,0.52687028415476,0.025688854232761755,0.0
Chip,0.001,0.0001,0.001,0.9,0.0016053941242575051,0.0,0.008999125952087903,0.002162185578464275,0.0,0.4848290255257666,0.02368975631136492,0.0
Chip,0.001,0.0001,0.001,0.9,0.0032107882485150102,0.0,0.012691532437880166,0.0022399070400354716,0.0,0.48387693762151934,0.023657903253343937,0.0
Chip,0.001,0.0001,0.01,0.1,0.0008026970621287526,0.0,0.025944952819250456,0.0032299000833276,0.0,0.48782799093844204,0.023857940457715703,0.0
Chip,0.001,0.0001,0.01,0.1,0.0016053941242575051,0.0,0.03159504825101229,0.003479628058212101,0.0,0.4500142701699934,0.022055057373728103,0.0
Chip,0.001,0.0001,0.01,0.1,0.0032107882485150102,0.0,0.030246071243823693,0.0034668868350037083,0.0,0.45104216835233046,0.02208818455406993,0.0
Chip,0.001,0.0001,0.01,0.25,0.0008026970621287526,0.0,0.01655339719234405,0.0027546524576545447,0.0,0.49548928845364876,0.02422998417540077,0.0
Chip,0.001,0.0001,0.01,0.25,0.0016053941242575051,0.0,0.021197891582383475,0.002982720353084777,0.0,0.4602664954246267,0.02253030499940116,0.0
Chip,0.001,0.0001,0.01,0.25,0.0032107882485150102,0.0,0.0257063734146733,0.003210788248515011,0.0,0.4716358074240559,0.023081999964324574,0.0
Chip,0.001,0.0001,0.01,0.5,0.0008026970621287526,0.0,0.014740639660369953,0.0025163915836575977,0.0,0.49869784698810227,0.02437650824229729,0.0
Chip,0.001,0.0001,0.01,0.5,0.0016053941242575051,0.0,0.0196616185940315,0.002764845436221259,0.0,0.4610245982055261,0.02255069095653459,0.0
Chip,0.001,0.0001,0.01,0.5,0.0032107882485150102,0.0,0.019567970603449815,0.0027763125371088127,0.0,0.47669502862952856,0.023318986716000682,0.0
Chip,0.001,0.0001,0.01,0.75,0.0008026970621287526,0.0,0.01492793564153333,0.002497279748845008,0.0,0.5109278286152584,0.024952411531316644,0.0
Chip,0.001,0.0001,0.01,0.75,0.0016053941242575051,0.0,0.020932555609068693,0.0027890537603172056,0.0,0.4775579279713169,0.023424738868630345,0.0
Chip,0.001,0.0001,0.01,0.75,0.0032107882485150102,0.0,0.020406343090562065,0.002734266500521116,0.0,0.4780261679242253,0.02347060727218056,0.0
Chip,0.001,0.0001,0.01,0.9,0.0008026970621287526,0.0,0.019224594637983625,0.002696042830895937,0.0,0.5196616185940316,0.02543530389091474,0.0
Chip,0.001,0.0001,0.01,0.9,0.0016053941242575051,0.0,0.02061593621234013,0.0027457336014086696,0.0,0.47774968338060325,0.023459140171293007,0.0
Chip,0.001,0.0001,0.01,0.9,0.0032107882485150102,0.0,0.020395194520254723,0.0027470077237295087,0.0,0.47812204562886856,0.02346933314985972,0.0
Chip,0.001,0.001,0.0001,0.1,0.0008026970621287526,0.0,0.006276645083034551,0.0020143873892469175,0.0,0.46255195233763224,0.022618219439539074,0.0
Chip,0.001,0.001,0.0001,0.1,0.0016053941242575051,0.0,0.007304543265371648,0.00204496632494706,0.0,0.49338666809368364,0.024232532420042457,0.0
Chip,0.001,0.001,0.0001,0.1,0.0032107882485150102,0.0,0.007431636966875367,0.0019494071508841136,0.0,0.4584961024598206,0.022509919042267734,0.0
Chip,0.001,0.001,0.0001,0.25,0.0008026970621287526,0.0,0.00577718913326555,0.0019799860865842562,0.0,0.47673739319669645,0.02332790557224656,0.0
Chip,0.001,0.001,0.0001,0.25,0.0016053941242575051,0.0,0.005993471397228019,0.001997823799076007,0.0,0.4946910508196429,0.024241451276288333,0.0
Chip,0.001,0.001,0.0001,0.25,0.0032107882485150102,0.0,0.0062610370846042694,0.0018971681357297023,0.0,0.4595730543515099,0.02254177210028872,0.0
Chip,0.001,0.001,0.0001,0.5,0.0008026970621287526,0.0,0.0053803000303241115,0.0019685189856967025,0.0,0.4956119227270295,0.02428859380215938,0.0
Chip,0.001,0.001,0.0001,0.5,0.0016053941242575051,0.0,0.005578744581794831,0.0019761637196217385,0.0,0.49531314104279267,0.02426948196734679,0.0
Chip,0.001,0.001,0.0001,0.5,0.0032107882485150102,0.0,0.005692459998929737,0.0018755080562754347,0.0,0.4608462210806086,0.022602929971689,0.0
Chip,0.001,0.001,0.0001,0.75,0.0008026970621287526,0.0,0.004182943579315388,0.0018067054509501132,0.0,0.49606678439556906,0.024296238536084418,0.0
Chip,0.001,0.001,0.0001,0.75,0.0016053941242575051,0.0,0.005346854319402079,0.0019646966187341847,0.0,0.49584381298942226,0.02429369029144274,0.0
Chip,0.001,0.001,0.0001,0.75,0.0032107882485150102,0.0,0.005623338863024206,0.0018755080562754347,0.0,0.46253188491107905,0.02267682906629768,0.0
Chip,0.001,0.001,0.0001,0.9,0.0008026970621287526,0.0,0.003984499027844669,0.0017735782706082917,0.0,0.5021628226396246,0.024585464302914934,0.0
Chip,0.001,0.001,0.0001,0.9,0.0016053941242575051,0.0,0.00529334118192683,0.0019621483740925065,0.0,0.46927676994702194,0.02299790789114918,0.0
Chip,0.001,0.001,0.0001,0.9,0.0032107882485150102,0.0,0.00552523144431958,0.0018538479768211668,0.0,0.4690560282549366,0.022992811401865824,0.0
Chip,0.001,0.001,0.001,0.1,0.0008026970621287526,0.0,0.007164071279499117,0.002052611058872096,0.0,0.46167344499741353,0.02260165584936816,0.0
Chip,0.001,0.001,0.001,0.1,0.0016053941242575051,0.0,0.008082713472824245,0.002083189994572239,0.0,0.4926597813096449,0.024198131117379795,0.0
Chip,0.001,0.001,0.001,0.1,0.0032107882485150102,0.0,0.008579939708531778,0.002006742655321881,0.0,0.45747266370560635,0.022453857660150806,0.0
Chip,0.001,0.001,0.001,0.25,0.0008026970621287526,0.0,0.006633399332869552,0.0020284027347761495,0.0,0.47611976240166953,0.023313890226717326,0.0
Chip,0.001,0.001,0.001,0.25,0.0016053941242575051,0.0,0.00678056046092649,0.0020284027347761495,0.0,0.49384152976222334,0.02422361356379658,0.0
Chip,0.001,0.001,0.001,0.25,0.0032107882485150102,0.0,0.007077112431101836,0.001913731725900613,0.0,0.45876589786125826,0.022525208510117807,0.0
Chip,0.001,0.001,0.001,0.5,0.0008026970621287526,0.0,0.006185226806514333,0.0020194838785302744,0.0,0.49528415475999354,0.024279674945913505,0.0
