nir,germ,gert,p,r,mismatchMin,mismatchMean,mismatchMax,NILhomozIntroMean,NILhetMean,PercNILsNoIntro
0.001,0.001,0.0001,0.25,0.0009354391107092187,0.00012875978574371653,0.0017558849353503248,0.007718229442580493,0.014288832416083317,0.001879323157834562,0.0
0.001,0.001,0.0001,0.5,0.00023385977767730469,0.0001361174877862146,0.0017745857613750075,0.007729265995644241,0.013606091787364294,0.001364182036450944,0.0
0.001,0.001,0.0001,0.5,0.00046771955535460937,0.00012875978574371653,0.0017505199442776698,0.007740302548707987,0.014320663330267172,0.0014564267265347694,0.0
0.001,0.001,0.0001,0.5,0.0009354391107092187,0.0001250809347224675,0.0017088262993701809,0.007788127611984225,0.015471123514340802,0.0018728270528990817,0.0
0.001,0.001,0.0001,0.75,0.00023385977767730469,0.00012875978574371653,0.0017474542350932956,0.007721908293601742,0.014329757877176844,0.0013544378790477229,0.0
0.001,0.001,0.0001,0.75,0.00046771955535460937,0.0001250809347224675,0.001702848166460651,0.007784448760962976,0.01546852507236661,0.0013531386580606269,0.0
0.001,0.001,0.0001,0.75,0.0009354391107092187,0.0001250809347224675,0.0017031547373790885,0.007784448760962976,0.015477619619276281,0.0014453833481444525,0.0
0.001,0.001,0.0001,0.9,0.00023385977767730469,0.0001250809347224675,0.0016979430317656523,0.0077918064630054735,0.015588053403179454,0.0013394968376961175,0.0
0.001,0.001,0.0001,0.9,0.00046771955535460937,0.0001250809347224675,0.0016971766044695587,0.0077918064630054735,0.015630278085260078,0.0013407960586832137,0.0
0.001,0.001,0.0001,0.9,0.0009354391107092187,0.0001250809347224675,0.001697636460847215,0.007784448760962976,0.015588703013673003,0.0013472921636186943,0.0
0.001,0.001,0.001,0.1,0.00023385977767730469,0.0001361174877862146,0.001794359585614221,0.007685119783389253,0.01305327325735489,0.001960524469528071,0.0
0.001,0.001,0.001,0.1,0.00046771955535460937,0.0001361174877862146,0.0017893011654600034,0.007699835187474247,0.013267644720225754,0.001946233038670013,0.0
0.001,0.001,0.001,0.1,0.0009354391107092187,0.00012875978574371653,0.0017563447917279807,0.007729265995644241,0.014257001501899463,0.0019488314806442057,0.0
0.001,0.001,0.001,0.25,0.00023385977767730469,0.0001361174877862146,0.0017853157435203171,0.0076814409323680026,0.013118234306709699,0.0015902464882056719,0.0
0.001,0.001,0.001,0.25,0.00046771955535460937,0.0001361174877862146,0.0017814836070398493,0.007725587144622991,0.013577508925648183,0.0019319416078119559,0.0
0.001,0.001,0.001,0.25,0.0009354391107092187,0.00012875978574371653,0.0017564980771871996,0.007729265995644241,0.014263497606834942,0.0019377881022538887,0.0
0.001,0.001,0.001,0.5,0.00023385977767730469,0.0001361174877862146,0.0017755054741303196,0.007736623697686739,0.013588552304038498,0.0014278438648186547,0.0
0.001,0.001,0.001,0.5,0.00046771955535460937,0.00012875978574371653,0.0017500600879000138,0.007743981399729236,0.014301175015460731,0.0016051875295572775,0.0
0.001,0.001,0.001,0.5,0.0009354391107092187,0.0001250809347224675,0.0017098992975847118,0.007802843016069222,0.015450335978547261,0.0019657213534764553,0.0
0.001,0.001,0.001,0.75,0.00023385977767730469,0.00012875978574371653,0.0017486805187670454,0.00773294484666549,0.014300525404967181,0.0014193989284025299,0.0
0.001,0.001,0.001,0.75,0.00046771955535460937,0.0001250809347224675,0.001704534306512057,0.007799164165047973,0.015453584031015002,0.0014343399697541353,0.0
0.001,0.001,0.001,0.75,0.0009354391107092187,0.0001250809347224675,0.0017031547373790885,0.007799164165047973,0.015454233641508552,0.0016363688332475847,0.0
0.001,0.001,0.001,0.9,0.00023385977767730469,0.0001250809347224675,0.001699782457276277,0.0077954853140267235,0.015539332616163347,0.0014200485388960779,0.0
0.001,0.001,0.001,0.9,0.00046771955535460937,0.0001250809347224675,0.0016985561736025275,0.007802843016069222,0.015599096781569769,0.0014271942543251067,0.0
