Line,putative.donor,max.match,founder.match,min.others,mean.others,max.others,sd.others,B73,CML103,CML228,CML247,CML277,CML322,CML333,CML52,CML69,KI3,Ki11,M162W,Mo17,Mo18W,NC350,NC358,Oh43,Tx303,Tzi8
CML103/B73 NIL-1037B,CML103,0.988416988416988,CML103,0.586614173228346,0.649945478270137,0.726141078838174,0.0393621984384512,0.612167300380228,0.988416988416988,0.669230769230769,0.656126482213439,0.685483870967742,0.612765957446809,0.66796875,0.726141078838174,0.640926640926641,0.586614173228346,0.627376425855513,0.65891472868217,0.606177606177606,0.6640625,0.596,0.650980392156863,0.644787644787645,0.725190839694656,0.668103448275862
CML103/B73 NIL-1041,CML103,0.936651583710407,CML103,0.666666666666667,0.729099173964118,0.827906976744186,0.0463157972629857,0.827906976744186,0.936651583710407,0.669811320754717,0.675799086757991,0.715596330275229,0.748768472906404,0.747619047619048,0.78921568627451,0.688118811881188,0.764705882352941,0.728110599078341,0.669767441860465,0.755868544600939,0.666666666666667,0.785046728971963,0.735576923076923,0.724770642201835,0.739336492890995,0.691099476439791
CML103/B73 NIL-1049,CML103,0.91044776119403,CML103,0.64321608040201,0.697937893227283,0.786407766990291,0.0432556775854646,0.786407766990291,0.91044776119403,0.661538461538462,0.711229946524064,0.645320197044335,0.657303370786517,0.658291457286432,0.742574257425743,0.723958333333333,0.717171717171717,0.693877551020408,0.676616915422886,0.64321608040201,0.763736263736264,0.738461538461539,0.66497461928934,0.661691542288557,0.73469387755102,0.681818181818182
CML103/B73 NIL-1053,CML103,0.729783037475345,Uncertain,0.628683693516699,0.67110655558608,0.719844357976654,0.026609754290181,0.687258687258687,0.671259842519685,0.667342799188641,0.729783037475345,0.628683693516699,0.660944206008584,0.696177062374245,0.657370517928287,0.642,0.697628458498024,0.63921568627451,0.673267326732673,0.692607003891051,0.669291338582677,0.654075546719682,0.634387351778656,0.715686274509804,0.719844357976654,0.67287784679089
CML103/B73 NIL-1057,CML103,0.895833333333333,Uncertain,0.537037037037037,0.725789738638233,0.833333333333333,0.0779451846146418,0.537037037037037,0.745454545454545,0.763636363636364,0.705882352941177,0.732142857142857,0.711111111111111,0.824561403508772,0.754716981132076,0.653846153846154,0.714285714285714,0.679245283018868,0.833333333333333,0.735849056603774,0.795918367346939,0.821428571428571,0.788461538461538,0.649122807017544,0.618181818181818,0.895833333333333
CML103/B73 NIL-1059,CML103,0.959079283887468,Tzi8,0.63855421686747,0.687203237889153,0.727941176470588,0.026788231544053,0.686131386861314,0.63855421686747,0.699507389162562,0.679706601466993,0.682382133995037,0.712737127371274,0.708641975308642,0.677261613691931,0.671679197994987,0.722921914357683,0.727941176470588,0.686131386861314,0.644768856447689,0.690104166666667,0.720588235294118,0.700980392156863,0.67710843373494,0.642512077294686,0.959079283887468
CML103/B73 NIL-1063,CML103,1,CML103,0.538461538461538,0.6876117872639,0.833333333333333,0.0867025312615592,0.581818181818182,1,0.648148148148148,0.788461538461538,0.811320754716981,0.63265306122449,0.538461538461538,0.740740740740741,0.72,0.60377358490566,0.654545454545455,0.730769230769231,0.7,0.62962962962963,0.574468085106383,0.685185185185185,0.8,0.833333333333333,0.703703703703704
CML103/B73 NIL-1072,CML103,0.913978494623656,Tzi8,0.586363636363636,0.677706496801787,0.771428571428571,0.049257047519083,0.625550660792952,0.625,0.641255605381166,0.771428571428571,0.697368421052632,0.703883495145631,0.657407407407407,0.674418604651163,0.669724770642202,0.657407407407407,0.744394618834081,0.586363636363636,0.676991150442478,0.736111111111111,0.719626168224299,0.636363636363636,0.644144144144144,0.731277533039648,0.913978494623656
CML103/B73 NIL-1076A,CML103,0.852225020990764,CML103,0.645054031587697,0.686697951020289,0.754068716094033,0.0238831417842219,0.703035274815422,0.852225020990764,0.692708333333333,0.695352839931153,0.7,0.66971637694419,0.674496644295302,0.682819383259912,0.677474402730375,0.698305084745763,0.696234309623431,0.645054031587697,0.661331086773378,0.681938325991189,0.664095972579263,0.672993960310613,0.678333333333333,0.712605042016807,0.754068716094033
CML103/B73 NIL-1076B,CML103,0.817109144542773,CML103,0.627627627627628,0.694353191234746,0.763754045307443,0.0348185974081772,0.679190751445087,0.817109144542773,0.732919254658385,0.730538922155689,0.674698795180723,0.705128205128205,0.690690690690691,0.711656441717791,0.637770897832817,0.678571428571429,0.713864306784661,0.627627627627628,0.688427299703264,0.664615384615385,0.693498452012384,0.674922600619195,0.687878787878788,0.742603550295858,0.763754045307443
CML103/B73 NIL-1078A,CML103,0.801818181818182,Tzi8,0.624561403508772,0.664879892744368,0.732258064516129,0.0252363101954486,0.65615141955836,0.732258064516129,0.67373572593801,0.654098360655738,0.698835274542429,0.624561403508772,0.664526484751204,0.643092105263158,0.666110183639399,0.686371100164204,0.668269230769231,0.656549520766773,0.6384,0.663747810858144,0.644518272425249,0.638613861386139,0.681528662420382,0.676470588235294,0.801818181818182
CML103/B73 NIL-1078B,CML103,0.765151515151515,Uncertain,0.595890410958904,0.664566418366387,0.713793103448276,0.0342187546967454,0.633561643835616,0.686206896551724,0.65034965034965,0.663194444444444,0.710622710622711,0.664179104477612,0.713793103448276,0.672597864768683,0.67595818815331,0.684397163120567,0.685121107266436,0.651877133105802,0.595890410958904,0.682481751824818,0.598591549295775,0.638297872340426,0.644827586206897,0.710247349823322,0.765151515151515
CML103/B73 NIL-1079A,CML103,0.839337877312561,CML103,0.620756547041707,0.669173415720067,0.750528541226216,0.028305276831152,0.679547596606975,0.839337877312561,0.667667667667668,0.666003976143141,0.67457962413452,0.648327939590076,0.695906432748538,0.684959349593496,0.656343656343656,0.667328699106256,0.674124513618677,0.620756547041707,0.642512077294686,0.655670103092784,0.644422310756972,0.644644644644645,0.674710424710425,0.697087378640777,0.750528541226216
