bgi_id	nil_id
BGI05_6b	CML228/B73 NIL-1229
BGI05_6c	CML228/B73 NIL-1230
BGI05_6d	CML228/B73 NIL-1232
BGI10_10d	CML247/B73 NIL-1005A
BGI05_6e	CML247/B73 NIL-1015
BGI05_6g	CML247/B73 NIL-1020
BGI11_09c	CML247/B73 NIL-1032B
BGI05_6h	CML247/B73 NIL-1037
BGI05_7a	CML247/B73 NIL-1040
BGI10_06g	CML247/B73 NIL-1050
BGI10_06h	CML247/B73 NIL-1059A
BGI05_7b	CML247/B73 NIL-1063
BGI05_7c	CML247/B73 NIL-1065
BGI05_7d	CML247/B73 NIL-1070
BGI05_7e	CML247/B73 NIL-1072
BGI05_7g	CML247/B73 NIL-1075
BGI-01-A12	CML247/B73 NIL-1082
BGI11_09d	CML247/B73 NIL-1083
BGI05_7h	CML247/B73 NIL-1090
BGI05_8a	CML247/B73 NIL-1104
BGI05_8b	CML247/B73 NIL-1105
BGI05_8c	CML247/B73 NIL-1106
BGI05_8d	CML247/B73 NIL-1107
BGI05_8e	CML247/B73 NIL-1110
BGI05_8g	CML247/B73 NIL-1125
BGI05_8h	CML247/B73 NIL-1128
BGI11_09h	CML247/B73 NIL-1130
BGI11_10a	CML247/B73 NIL-1131
BGI05_9a	CML247/B73 NIL-1139
BGI11_10b	CML247/B73 NIL-1154
BGI05_9b	CML247/B73 NIL-1164
BGI05_9c	CML247/B73 NIL-1179
BGI11_09g	CML247/B73 NIL-1180
BGI05_9d	CML247/B73 NIL-1181
BGI05_9e	CML247/B73 NIL-1186
BGI10_07a	CML247/B73 NIL-1190
BGI10_08e	CML247/B73 NIL-1194
BGI05_9g	CML247/B73 NIL-1201
BGI10_10e	CML247/B73 NIL-1206
BGI07_9h	CML247/B73 NIL-1218
BGI07_9g	CML247/B73 NIL-1241
BGI-02-H09	CML247/B73 NIL-1246A
BGI-02-A10	CML247/B73 NIL-1253
BGI08_7a	CML247/B73 NIL-1254
BGI10_08a	CML247/B73 NIL-1262
BGI-02-B10	CML247/B73 NIL-1277
BGI-02-C10	CML247/B73 NIL-1262
BGI-02-D10	CML277/B73 NIL-1004
BGI-02-E10	CML277/B73 NIL-1006
BGI10_10g	CML277/B73 NIL-1007
BGI-02-F10	CML277/B73 NIL-1008
BGI-02-G10	CML277/B73 NIL-1009
BGI-02-H10	CML277/B73 NIL-1011
BGI-02-A11	CML277/B73 NIL-1012A
BGI-02-B11	CML277/B73 NIL-1012B
BGI08_7c	CML277/B73 NIL-1017
BGI-02-C11	CML277/B73 NIL-1029
BGI-02-D11	CML277/B73 NIL-1032
BGI-02-E11	CML277/B73 NIL-1035
BGI-02-F11	CML277/B73 NIL-1041B
BGI-02-G11	CML277/B73 NIL-1048
BGI-02-H11	CML277/B73 NIL-1061
BGI05_9h	CML277/B73 NIL-1069
BGI-02-A12	CML277/B73 NIL-1081
BGI-02-B12	CML277/B73 NIL-1086
BGI-02-C12	CML277/B73 NIL-1090
BGI-02-D12	CML277/B73 NIL-1091
BGI-02-E12	CML277/B73 NIL-1111B
BGI10_10h	CML277/B73 NIL-1116
BGI-02-F12	CML277/B73 NIL-1122
BGI-02-G12	CML277/B73 NIL-1124
BGI-02-H12	CML277/B73 NIL-1132A
BGI-03-A01	CML277/B73 NIL-1135
BGI-03-B01	CML277/B73 NIL-1136
BGI-03-C01	CML277/B73 NIL-1140
BGI-03-D01	CML277/B73 NIL-1145
BGI10_11a	CML277/B73 NIL-1149
BGI-03-E01	CML277/B73 NIL-1175
BGI-03-F01	CML277/B73 NIL-1179
BGI-03-G01	CML277/B73 NIL-1180
BGI-03-H01	CML277/B73 NIL-1183
BGI10_08b	CML277/B73 NIL-1234A
BGI-03-A02	CML277/B73 NIL-1234B
BGI-03-B02	CML277/B73 NIL-1235A
BGI-03-C02	CML277/B73 NIL-1235B
BGI-03-D02	CML277/B73 NIL-1257
BGI-03-E02	CML277/B73 NIL-1263
BGI11_08h	CML277/B73 NIL-1280
BGI-03-F02	CML277/B73 NIL-1281
BGI-03-G02	CML277/B73 NIL-1282
BGI-03-H02	CML277/B73 NIL-1283
BGI-03-A03	CML277/B73 NIL-1296
BGI-03-B03	CML277/B73 NIL-1234A
BGI-03-C03	CML277/B73 NIL-1314
BGI-03-D03	CML322/B73 NIL-1003
BGI08_7d	CML322/B73 NIL-1004
BGI10_07b	CML322/B73 NIL-1016
BGI-03-E03	CML322/B73 NIL-1018A
BGI-03-F03	CML322/B73 NIL-1021
BGI-03-G03	CML322/B73 NIL-1030B
BGI-03-H03	CML322/B73 NIL-1037
BGI-03-A04	CML322/B73 NIL-1048
BGI-03-B04	CML322/B73 NIL-1051
BGI-03-C04	CML322/B73 NIL-1053A
BGI08_7e	CML322/B73 NIL-1060
BGI10_08g	CML322/B73 NIL-1061
BGI-03-D04	CML322/B73 NIL-1069
BGI-03-E04	CML322/B73 NIL-1074
BGI-03-F04	CML322/B73 NIL-1076
BGI-03-G04	CML322/B73 NIL-1083
BGI-03-H04	CML322/B73 NIL-1087
BGI08_7g	CML322/B73 NIL-1094
BGI08_7h	CML322/B73 NIL-1097
BGI-03-A05	CML322/B73 NIL-1098
BGI10_07c	CML322/B73 NIL-1101
BGI08_8a	CML322/B73 NIL-1103
BGI08_8b	CML322/B73 NIL-1144
BGI08_8c	CML322/B73 NIL-1146
BGI10_08h	CML322/B73 NIL-1147
BGI-03-B05	CML322/B73 NIL-1169
BGI11_12a	CML322/B73 NIL-1174B
BGI08_8d	CML322/B73 NIL-1194
BGI08_8e	CML322/B73 NIL-1198
BGI-03-C05	CML322/B73 NIL-1215
BGI10_11b	CML322/B73 NIL-1217
BGI08_8g	CML322/B73 NIL-1218
BGI10_11c	CML322/B73 NIL-1222
BGI08_8h	CML322/B73 NIL-1224
BGI10_11d	CML322/B73 NIL-1225
BGI-03-D05	CML322/B73 NIL-1228
BGI08_9a	CML322/B73 NIL-1229
BGI-03-E05	CML322/B73 NIL-1234
BGI-03-F05	CML322/B73 NIL-1242
BGI-03-G05	CML322/B73 NIL-1245
BGI-03-H05	CML322/B73 NIL-1249
BGI08_9b	CML322/B73 NIL-1250
BGI-03-A06	CML322/B73 NIL-1251
BGI-03-B06	CML322/B73 NIL-1254
BGI08_9c	CML322/B73 NIL-1255
BGI-03-C06	CML333/B73 NIL-1003
BGI10_11e	CML333/B73 NIL-1008
BGI-03-E06	CML333/B73 NIL-1009
BGI08_2b	CML333/B73 NIL-1013
BGI-03-F06	CML333/B73 NIL-1014
BGI12_01b	CML333/B73 NIL-1015
BGI10_07d	CML333/B73 NIL-1031
BGI-03-G06	CML333/B73 NIL-1032
BGI-03-H06	CML333/B73 NIL-1034
BGI08_2c	CML333/B73 NIL-1036
