,Line,ped.donor,N.blocks,N.mismatch.blocks,N.NA.blocks,N.donor.matches,best.matches
422,CML69/B73 NIL-1221,CML69,2,0,0,1,CML69
423,CML69/B73 NIL-1227,CML69,1,0,0,1,CML69
424,CML69/B73 NIL-1232,CML69,1,1,0,1,NC358
425,CML69/B73 NIL-1237,CML69,1,0,0,1,CML69
426,CML69/B73 NIL-1239A,CML69,1,0,0,1,CML69
427,CML69/B73 NIL-1239B,CML69,1,0,0,1,CML69
428,Ki11/B73 NIL-1001,Ki11,1,0,0,1,Ki11
429,Ki11/B73 NIL-1006,Ki11,4,0,0,1,Ki11
430,Ki11/B73 NIL-1015,Ki11,4,0,0,1,Ki11
431,Ki11/B73 NIL-1018,Ki11,1,0,0,1,Ki11
432,Ki11/B73 NIL-1032,Ki11,3,0,0,1,Ki11
433,Ki11/B73 NIL-1038,Ki11,2,2,0,2,NC358/B73
434,Ki11/B73 NIL-1039A,Ki11,1,0,0,1,Ki11
435,Ki11/B73 NIL-1039B,Ki11,1,0,0,1,Ki11
436,Ki11/B73 NIL-1046,Ki11,1,0,0,1,Ki11
437,Ki11/B73 NIL-1054,Ki11,1,0,0,1,Ki11
438,Ki11/B73 NIL-1059,Ki11,5,0,1,1,Ki11
439,Ki11/B73 NIL-1062A,Ki11,1,0,0,1,Ki11
440,Ki11/B73 NIL-1063,Ki11,3,0,0,1,Ki11
441,Ki11/B73 NIL-1066,Ki11,4,0,0,1,Ki11
442,Ki11/B73 NIL-1080,Ki11,2,0,0,1,Ki11
443,Ki11/B73 NIL-1081,Ki11,1,0,0,1,Ki11
444,Ki11/B73 NIL-1086,Ki11,2,0,0,1,Ki11
445,Ki11/B73 NIL-1090,Ki11,2,0,1,1,Ki11
446,Ki11/B73 NIL-1097A,Ki11,2,0,0,1,Ki11
447,Ki11/B73 NIL-1097B,Ki11,2,0,0,1,Ki11
448,Ki11/B73 NIL-1104,Ki11,1,0,0,1,Ki11
449,Ki11/B73 NIL-1106,Ki11,3,0,0,1,Ki11
450,Ki11/B73 NIL-1112,Ki11,1,0,0,1,Ki11
451,Ki11/B73 NIL-1115,Ki11,2,0,0,1,Ki11
452,Ki11/B73 NIL-1117A,Ki11,3,0,0,1,Ki11
453,Ki11/B73 NIL-1117B,Ki11,3,0,1,1,Ki11
454,Ki11/B73 NIL-1123,Ki11,3,2,0,2,Mo17/Ki11
455,Ki11/B73 NIL-1125,Ki11,4,1,2,2,Ki11/Mo17
456,Ki11/B73 NIL-1128,Ki11,10,5,3,3,Mo17/Ki11/Oh43
457,Ki11/B73 NIL-1129A,Ki11,7,4,2,3,Ki11/Mo17/Oh43
458,Ki11/B73 NIL-1129B,Ki11,9,4,3,3,Ki11/Mo17/Oh43
459,Ki11/B73 NIL-1134,Ki11,1,0,0,1,Ki11
460,Ki11/B73 NIL-1147,Ki11,3,0,0,1,Ki11
461,Ki11/B73 NIL-1153,Ki11,3,0,1,1,Ki11
462,Ki11/B73 NIL-1161,Ki11,2,0,0,1,Ki11
463,Ki11/B73 NIL-1164,Ki11,2,0,0,1,Ki11
464,Ki11/B73 NIL-1165,Ki11,1,0,0,1,Ki11
465,Ki11/B73 NIL-1169,Ki11,4,1,0,2,Ki11/B73
466,Ki11/B73 NIL-1177,Ki11,2,0,1,1,Ki11
467,Ki11/B73 NIL-1180,Ki11,3,0,0,1,Ki11
468,Ki11/B73 NIL-1193,Ki11,3,0,0,1,Ki11
469,Ki11/B73 NIL-1212,Ki11,4,0,0,1,Ki11
470,Ki11/B73 NIL-1228,Ki11,1,0,0,1,Ki11
471,Ki11/B73 NIL-1233,Ki11,2,2,0,1,Ki3
472,Ki3/B73 NIL-1007,Ki3,2,0,1,1,Ki3
473,Ki3/B73 NIL-1016,Ki3,2,0,0,1,Ki3
474,Ki3/B73 NIL-1024,Ki3,2,2,0,1,Ki11
475,Ki3/B73 NIL-1025,Ki3,2,2,0,1,Ki11
476,Ki3/B73 NIL-1028,Ki3,1,0,0,1,Ki3
477,Ki3/B73 NIL-1030,Ki3,2,0,0,1,Ki3
478,Ki3/B73 NIL-1034,Ki3,1,0,1,0,NA
479,Ki3/B73 NIL-1043A,Ki3,2,1,0,2,Mo17/Ki3
480,Ki3/B73 NIL-1083,Ki3,2,2,0,1,Ki11
481,Ki3/B73 NIL-1107,Ki3,2,1,1,1,B73
482,Ki3/B73 NIL-1119,Ki3,4,3,1,1,Mo17
483,Ki3/B73 NIL-1123,Ki3,1,1,0,1,Mo17
484,Ki3/B73 NIL-1128,Ki3,2,0,0,1,Ki3
485,Ki3/B73 NIL-1144,Ki3,3,0,0,1,Ki3
486,Ki3/B73 NIL-1163,Ki3,1,0,0,1,Ki3
487,Ki3/B73 NIL-1185,Ki3,4,1,1,2,Mo17/Ki3
488,Ki3/B73 NIL-1186,Ki3,3,1,0,2,Mo17/Ki3
489,Ki3/B73 NIL-1191,Ki3,5,0,1,1,Ki3
490,Ki3/B73 NIL-1194,Ki3,3,0,0,1,Ki3
491,Ki3/B73 NIL-1199,Ki3,3,0,0,1,Ki3
492,Ki3/B73 NIL-1203,Ki3,1,0,0,1,Ki3
493,Ki3/B73 NIL-1215,Ki3,4,2,0,2,Ki3/Mo17
494,Ki3/B73 NIL-1219,Ki3,2,0,0,1,Ki3
495,Ki3/B73 NIL-1221,Ki3,1,0,0,1,Ki3
496,Ki3/B73 NIL-1237,Ki3,2,0,0,1,Ki3
497,Ki3/B73 NIL-1244,Ki3,1,1,0,1,Mo17
498,Ki3/B73 NIL-1258,Ki3,5,5,0,1,Ki11
499,M162W/B73 NIL-1005,M162W,2,0,0,1,M162W
500,M162W/B73 NIL-1013,M162W,2,0,0,1,M162W
501,M162W/B73 NIL-1018,M162W,2,0,0,1,M162W
502,M162W/B73 NIL-1044,M162W,2,0,0,1,M162W
503,M162W/B73 NIL-1050,M162W,3,0,0,1,M162W
504,M162W/B73 NIL-1056,M162W,2,0,0,1,M162W
505,M162W/B73 NIL-1058,M162W,3,0,0,1,M162W
506,M162W/B73 NIL-1089,M162W,2,0,0,1,M162W
507,M162W/B73 NIL-1105,M162W,2,0,0,1,M162W
508,M162W/B73 NIL-1120,M162W,3,0,0,1,M162W
509,M162W/B73 NIL-1136,M162W,2,0,0,1,M162W
510,M162W/B73 NIL-1160,M162W,2,0,0,1,M162W
511,M162W/B73 NIL-1201,M162W,2,0,0,1,M162W
512,M162W/B73 NIL-1207,M162W,2,0,0,1,M162W
513,M162W/B73 NIL-1232,M162W,2,0,0,1,M162W
514,M162W/B73 NIL-1233,M162W,3,0,0,1,M162W
515,M162W/B73 NIL-1247,M162W,2,0,0,1,M162W
516,M162W/B73 NIL-1254,M162W,2,0,0,1,M162W
517,Mo17/B73 NIL-1015,Mo17,1,0,0,1,Mo17
518,Mo17/B73 NIL-1035,Mo17,1,0,0,1,Mo17
519,Mo17/B73 NIL-1076,Mo17,1,0,0,1,Mo17
520,Mo17/B73 NIL-1114,Mo17,2,0,0,1,Mo17
521,Mo17/B73 NIL-1163,Mo17,3,0,0,1,Mo17
522,Mo17/B73 NIL-1209,Mo17,2,0,1,1,Mo17
523,Mo17/B73 NIL-1213,Mo17,1,0,0,1,Mo17
524,Mo17/B73 NIL-1214,Mo17,1,0,0,1,Mo17
525,Mo17/B73 NIL-1215,Mo17,3,0,0,1,Mo17
526,Mo17/B73 NIL-1217,Mo17,1,0,0,1,Mo17
527,Mo17/B73 NIL-1218,Mo17,1,0,0,1,Mo17
528,Mo17/B73 NIL-1231,Mo17,1,0,0,1,Mo17
529,Mo17/B73 NIL-1243,Mo17,2,0,0,1,Mo17
530,Mo17/B73 NIL-1244,Mo17,1,0,0,1,Mo17
531,Mo17/B73 NIL-1250,Mo17,3,0,0,1,Mo17
532,Mo17/B73 NIL-1251A,Mo17,1,0,0,1,Mo17
533,Mo17/B73 NIL-1251B,Mo17,1,0,0,1,Mo17
534,Mo17/B73 NIL-1265,Mo17,2,0,1,1,Mo17
535,Mo17/B73 NIL-1266,Mo17,2,0,0,1,Mo17
536,Mo17/B73 NIL-1270,Mo17,3,0,0,1,Mo17
537,Mo17/B73 NIL-1288,Mo17,2,0,0,1,Mo17
538,Mo17/B73 NIL-1291,Mo17,1,0,1,0,NA
539,Mo17/B73 NIL-1301,Mo17,2,2,0,1,Mo18W
540,Mo17/B73 NIL-1306,Mo17,2,1,1,1,NC358
541,Mo17/B73 NIL-1307,Mo17,3,0,0,1,Mo17
542,Mo17/B73 NIL-1314,Mo17,4,3,1,2,Oh43/B73
543,Mo18W/B73 NIL-1001,Mo18W,3,0,0,1,Mo18W
544,Mo18W/B73 NIL-1003,Mo18W,1,0,0,1,Mo18W
545,Mo18W/B73 NIL-1004,Mo18W,1,0,0,1,Mo18W
546,Mo18W/B73 NIL-1005,Mo18W,1,0,0,1,Mo18W
547,Mo18W/B73 NIL-1008,Mo18W,1,0,0,1,Mo18W
548,Mo18W/B73 NIL-1011,Mo18W,2,0,0,1,Mo18W
549,Mo18W/B73 NIL-1012,Mo18W,2,0,0,1,Mo18W
550,Mo18W/B73 NIL-1013A,Mo18W,2,0,0,1,Mo18W
551,Mo18W/B73 NIL-1015,Mo18W,1,0,0,1,Mo18W
552,Mo18W/B73 NIL-1016A,Mo18W,3,0,0,1,Mo18W
553,Mo18W/B73 NIL-1016B,Mo18W,2,0,0,1,Mo18W
554,Mo18W/B73 NIL-1017B,Mo18W,1,0,0,1,Mo18W
555,Mo18W/B73 NIL-1018,Mo18W,2,0,0,1,Mo18W
556,Mo18W/B73 NIL-1020A,Mo18W,2,0,0,1,Mo18W
557,Mo18W/B73 NIL-1020B,Mo18W,3,0,1,1,Mo18W
558,Mo18W/B73 NIL-1023,Mo18W,2,0,0,1,Mo18W
559,Mo18W/B73 NIL-1024,Mo18W,2,0,0,1,Mo18W
560,Mo18W/B73 NIL-1026,Mo18W,3,1,0,2,Mo18W/B73
561,Mo18W/B73 NIL-1028A,Mo18W,2,0,0,1,Mo18W
562,Mo18W/B73 NIL-1029,Mo18W,2,0,0,1,Mo18W
563,Mo18W/B73 NIL-1031,Mo18W,1,0,0,1,Mo18W
564,Mo18W/B73 NIL-1033,Mo18W,2,0,1,1,Mo18W
565,Mo18W/B73 NIL-1035,Mo18W,1,0,0,1,Mo18W
566,Mo18W/B73 NIL-1037,Mo18W,1,0,0,1,Mo18W
567,Mo18W/B73 NIL-1045,Mo18W,3,0,0,1,Mo18W
568,Mo18W/B73 NIL-1053,Mo18W,2,0,0,1,Mo18W
569,Mo18W/B73 NIL-1054,Mo18W,2,0,0,1,Mo18W
570,Mo18W/B73 NIL-1058A,Mo18W,4,0,0,1,Mo18W
571,Mo18W/B73 NIL-1058B,Mo18W,3,0,0,1,Mo18W
572,Mo18W/B73 NIL-1065,Mo18W,5,5,0,1,Mo17
573,Mo18W/B73 NIL-1067,Mo18W,2,0,0,1,Mo18W
574,Mo18W/B73 NIL-1068,Mo18W,2,1,0,2,M162W/Mo18W
575,Mo18W/B73 NIL-1074,Mo18W,1,0,0,1,Mo18W
576,Mo18W/B73 NIL-1078,Mo18W,1,0,0,1,Mo18W
577,Mo18W/B73 NIL-1081,Mo18W,3,0,1,1,Mo18W
578,Mo18W/B73 NIL-1085,Mo18W,2,0,0,1,Mo18W
579,Mo18W/B73 NIL-1089A,Mo18W,2,0,0,1,Mo18W
580,Mo18W/B73 NIL-1089B,Mo18W,2,0,0,1,Mo18W
581,Mo18W/B73 NIL-1092,Mo18W,1,0,0,1,Mo18W
582,Mo18W/B73 NIL-1093,Mo18W,1,0,0,1,Mo18W
583,Mo18W/B73 NIL-1095,Mo18W,2,0,0,1,Mo18W
584,Mo18W/B73 NIL-1096,Mo18W,2,0,0,1,Mo18W
585,Mo18W/B73 NIL-1099,Mo18W,7,1,6,1,B73
586,Mo18W/B73 NIL-1104A,Mo18W,1,0,0,1,Mo18W
587,Mo18W/B73 NIL-1104B,Mo18W,1,0,0,1,Mo18W
588,Mo18W/B73 NIL-1105,Mo18W,1,1,0,1,NC358
589,Mo18W/B73 NIL-1106,Mo18W,5,1,3,2,Oh43/Mo18W
590,Mo18W/B73 NIL-1108,Mo18W,2,0,0,1,Mo18W
591,Mo18W/B73 NIL-1109,Mo18W,2,0,0,1,Mo18W
592,Mo18W/B73 NIL-1115,Mo18W,1,0,0,1,Mo18W
593,Mo18W/B73 NIL-1116A,Mo18W,2,0,0,1,Mo18W
594,Mo18W/B73 NIL-1116B,Mo18W,2,0,0,1,Mo18W
595,Mo18W/B73 NIL-1117,Mo18W,2,0,1,1,Mo18W
596,Mo18W/B73 NIL-1118,Mo18W,1,0,0,1,Mo18W
597,Mo18W/B73 NIL-1120,Mo18W,1,0,0,1,Mo18W
598,Mo18W/B73 NIL-1121,Mo18W,1,0,0,1,Mo18W
599,Mo18W/B73 NIL-1127,Mo18W,1,0,0,1,Mo18W
600,Mo18W/B73 NIL-1130,Mo18W,3,0,2,1,Mo18W
601,Mo18W/B73 NIL-1131,Mo18W,1,0,0,1,Mo18W
602,Mo18W/B73 NIL-1135,Mo18W,1,0,0,1,Mo18W
603,Mo18W/B73 NIL-1138,Mo18W,3,0,0,1,Mo18W
604,Mo18W/B73 NIL-1145,Mo18W,3,0,0,1,Mo18W
605,Mo18W/B73 NIL-1147,Mo18W,1,0,0,1,Mo18W
606,Mo18W/B73 NIL-1149B,Mo18W,3,0,0,1,Mo18W
607,Mo18W/B73 NIL-1149C,Mo18W,3,0,0,1,Mo18W
608,Mo18W/B73 NIL-1152,Mo18W,1,0,0,1,Mo18W
609,Mo18W/B73 NIL-1154,Mo18W,2,0,0,1,Mo18W
610,Mo18W/B73 NIL-1156,Mo18W,2,0,0,1,Mo18W
611,Mo18W/B73 NIL-1159,Mo18W,1,0,0,1,Mo18W
612,Mo18W/B73 NIL-1164,Mo18W,1,0,0,1,Mo18W
613,NC350/B73 NIL-1005,NC350,2,0,0,1,NC350
614,NC350/B73 NIL-1006,NC350,2,0,0,1,NC350
615,NC350/B73 NIL-1013,NC350,2,1,0,2,Mo17/NC350
616,NC350/B73 NIL-1042,NC350,1,0,0,1,NC350
617,NC350/B73 NIL-1056,NC350,3,0,0,1,NC350
618,NC350/B73 NIL-1065,NC350,1,1,0,1,NC358
619,NC350/B73 NIL-1068,NC350,3,3,0,2,NC358/B73
620,NC350/B73 NIL-1073A,NC350,3,0,0,1,NC350
621,NC350/B73 NIL-1073B,NC350,2,2,0,1,NC358
622,NC350/B73 NIL-1077,NC350,1,0,0,1,NC350
623,NC350/B73 NIL-1079,NC350,1,0,0,1,NC350
624,NC350/B73 NIL-1080,NC350,3,0,0,1,NC350
625,NC350/B73 NIL-1090,NC350,2,0,0,1,NC350
626,NC350/B73 NIL-1097A,NC350,1,0,0,1,NC350
627,NC350/B73 NIL-1101,NC350,4,1,2,2,B73/NC350
628,NC350/B73 NIL-1105,NC350,3,0,0,1,NC350
629,NC350/B73 NIL-1114,NC350,1,1,0,1,NC358
630,NC350/B73 NIL-1123,NC350,2,0,0,1,NC350
631,NC350/B73 NIL-1127,NC350,3,2,0,2,Mo17/NC350
632,NC350/B73 NIL-1128,NC350,1,1,0,1,Mo17
633,NC350/B73 NIL-1140,NC350,2,0,0,1,NC350
634,NC350/B73 NIL-1153A,NC350,3,3,0,1,NC358
635,NC350/B73 NIL-1153B,NC350,3,3,0,1,NC358
636,NC350/B73 NIL-1155,NC350,1,0,0,1,NC350
637,NC350/B73 NIL-1157,NC350,4,3,1,2,NC358/B73
638,NC350/B73 NIL-1165,NC350,4,0,0,1,NC350
639,NC350/B73 NIL-1169,NC350,2,0,0,1,NC350
640,NC350/B73 NIL-1179,NC350,1,0,0,1,NC350
641,NC350/B73 NIL-1180,NC350,2,0,1,1,NC350
642,NC350/B73 NIL-1182,NC350,5,3,1,2,NC350/Mo17
643,NC350/B73 NIL-1183,NC350,4,3,0,2,Mo17/NC350
644,NC350/B73 NIL-1185,NC350,2,2,0,1,Oh43
645,NC350/B73 NIL-1192,NC350,1,0,0,1,NC350
646,NC350/B73 NIL-1196,NC350,2,0,0,1,NC350
647,NC350/B73 NIL-1207,NC350,3,0,0,1,NC350
648,NC350/B73 NIL-1210,NC350,3,0,3,0,NA
649,NC350/B73 NIL-1232,NC350,2,0,0,1,NC350
650,NC350/B73 NIL-1240,NC350,2,0,0,1,NC350
651,NC350/B73 NIL-1242,NC350,3,0,3,0,NA
652,NC350/B73 NIL-1246,NC350,3,0,0,1,NC350
653,NC350/B73 NIL-1250,NC350,2,0,0,1,NC350
654,NC350/B73 NIL-1265,NC350,2,2,0,1,NC358
655,NC350/B73 NIL-1270,NC350,1,0,0,1,NC350
656,NC350/B73 NIL-1272,NC350,4,0,1,1,NC350
657,NC358/B73 NIL-1008,NC358,4,0,0,1,NC358
658,NC358/B73 NIL-1009,NC358,2,0,0,1,NC358
659,NC358/B73 NIL-1017,NC358,1,0,0,1,NC358
660,NC358/B73 NIL-1018,NC358,2,0,0,1,NC358
661,NC358/B73 NIL-1035,NC358,2,1,1,1,B73
662,NC358/B73 NIL-1052,NC358,5,5,0,2,B73/NC350
663,NC358/B73 NIL-1058,NC358,2,0,0,1,NC358
664,NC358/B73 NIL-1059B,NC358,1,0,0,1,NC358
665,NC358/B73 NIL-1069,NC358,1,0,0,1,NC358
666,NC358/B73 NIL-1075,NC358,2,2,0,1,NC350
667,NC358/B73 NIL-1080,NC358,2,1,1,1,Mo18W
668,NC358/B73 NIL-1084,NC358,3,3,0,1,Oh43
669,NC358/B73 NIL-1104,NC358,1,0,0,1,NC358
670,NC358/B73 NIL-1108,NC358,2,1,1,1,Tx303
671,NC358/B73 NIL-1111,NC358,14,13,1,3,Mo17/B73/Oh43
672,NC358/B73 NIL-1114,NC358,10,6,2,4,Mo17/NC358/CML52/Oh43
673,NC358/B73 NIL-1132,NC358,3,1,1,2,Tzi8/NC358
674,NC358/B73 NIL-1134,NC358,2,0,0,1,NC358
675,NC358/B73 NIL-1145,NC358,5,0,1,1,NC358
676,NC358/B73 NIL-1146,NC358,3,0,0,1,NC358
677,NC358/B73 NIL-1151,NC358,4,3,1,1,Tx303
678,NC358/B73 NIL-1154,NC358,9,7,2,2,B73/Tx303
679,NC358/B73 NIL-1156,NC358,1,0,0,1,NC358
680,NC358/B73 NIL-1164,NC358,1,0,0,1,NC358
681,NC358/B73 NIL-1165,NC358,2,1,1,1,Oh43
682,NC358/B73 NIL-1166,NC358,1,1,0,1,Tx303
683,NC358/B73 NIL-1179,NC358,3,1,2,1,Ki11
684,NC358/B73 NIL-1183,NC358,3,2,1,1,Ki11
685,NC358/B73 NIL-1188,NC358,1,0,0,1,NC358
686,NC358/B73 NIL-1189A,NC358,1,0,0,1,NC358
687,NC358/B73 NIL-1192A,NC358,2,0,0,1,NC358
688,NC358/B73 NIL-1192B,NC358,1,0,0,1,NC358
689,NC358/B73 NIL-1204,NC358,2,2,0,1,Oh43
690,NC358/B73 NIL-1211,NC358,1,0,1,0,NA
691,NC358/B73 NIL-1227,NC358,2,0,0,1,NC358
692,NC358/B73 NIL-1233,NC358,3,1,2,1,B73
693,NC358/B73 NIL-1236,NC358,1,0,0,1,NC358
694,NC358/B73 NIL-1238A,NC358,2,0,0,1,NC358
695,Oh43/B73 NIL-1002,Oh43,1,1,0,1,Mo18W
696,Oh43/B73 NIL-1005,Oh43,4,4,0,2,CML103/CML69
697,Oh43/B73 NIL-1008,Oh43,2,1,1,1,CML69
698,Oh43/B73 NIL-1013,Oh43,1,0,0,1,Oh43
699,Oh43/B73 NIL-1017,Oh43,2,1,1,1,CML69
700,Oh43/B73 NIL-1021,Oh43,3,3,0,1,NC358
701,Oh43/B73 NIL-1023A,Oh43,2,0,2,0,NA
702,Oh43/B73 NIL-1023B,Oh43,1,1,0,1,CML69
703,Oh43/B73 NIL-1026,Oh43,2,0,0,1,Oh43
704,Oh43/B73 NIL-1028,Oh43,1,0,0,1,Oh43
705,Oh43/B73 NIL-1031,Oh43,3,3,0,1,CML69
706,Oh43/B73 NIL-1037,Oh43,2,0,0,1,Oh43
707,Oh43/B73 NIL-1046,Oh43,3,0,0,1,Oh43
708,Oh43/B73 NIL-1053,Oh43,1,1,0,1,Tzi8
709,Oh43/B73 NIL-1055,Oh43,4,4,0,1,NC358
710,Oh43/B73 NIL-1056,Oh43,2,0,2,0,NA
711,Oh43/B73 NIL-1059A,Oh43,1,0,0,1,Oh43
712,Oh43/B73 NIL-1059B,Oh43,2,2,0,1,NC358
713,Oh43/B73 NIL-1068,Oh43,1,0,1,0,NA
714,Oh43/B73 NIL-1073,Oh43,1,0,0,1,Oh43
715,Oh43/B73 NIL-1099,Oh43,5,3,1,3,B73/CML69/Oh43
716,Oh43/B73 NIL-1100,Oh43,1,0,1,0,NA
717,Oh43/B73 NIL-1108,Oh43,1,0,0,1,Oh43
718,Oh43/B73 NIL-1135,Oh43,3,3,0,1,Tx303
719,Oh43/B73 NIL-1142,Oh43,3,3,0,1,Tzi8
720,Oh43/B73 NIL-1143,Oh43,6,3,1,2,Tzi8/Oh43
721,Oh43/B73 NIL-1145,Oh43,6,4,0,2,Tzi8/Oh43
722,Oh43/B73 NIL-1157,Oh43,2,0,0,1,Oh43
723,Oh43/B73 NIL-1171,Oh43,3,3,0,1,NC358
724,Oh43/B73 NIL-1172A,Oh43,2,0,1,1,Oh43
725,Oh43/B73 NIL-1173A,Oh43,3,0,1,1,Oh43
726,Oh43/B73 NIL-1173B,Oh43,2,0,0,1,Oh43
727,Oh43/B73 NIL-1175A,Oh43,2,0,0,1,Oh43
728,Oh43/B73 NIL-1175B,Oh43,2,0,1,1,Oh43
729,Oh43/B73 NIL-1182,Oh43,2,0,0,1,Oh43
730,Oh43/B73 NIL-1195,Oh43,2,1,1,1,B73
731,Oh43/B73 NIL-1197,Oh43,1,0,0,1,Oh43
732,Oh43/B73 NIL-1199,Oh43,3,3,0,2,NC350/Mo17
733,Oh43/B73 NIL-1211,Oh43,4,0,3,1,Oh43
734,Oh43/B73 NIL-1218,Oh43,4,0,0,1,Oh43
735,Oh43/B73 NIL-1230,Oh43,2,1,1,1,CML52
736,Oh43/B73 NIL-1231,Oh43,5,0,1,1,Oh43
737,Oh43/B73 NIL-1235,Oh43,2,0,0,1,Oh43
738,Oh43/B73 NIL-1236A,Oh43,1,0,0,1,Oh43
739,Oh43/B73 NIL-1236B,Oh43,2,0,0,1,Oh43
740,Oh43/B73 NIL-1246,Oh43,6,2,3,2,Mo17/Oh43
741,Oh43/B73 NIL-1250,Oh43,3,1,2,1,Mo17
742,Oh43/B73 NIL-1255,Oh43,1,0,0,1,Oh43
743,Oh43/B73 NIL-1270,Oh43,1,0,0,1,Oh43
744,Oh43/B73 NIL-1281,Oh43,1,0,1,0,NA
745,Oh43/B73 NIL-1284,Oh43,2,0,0,1,Oh43
746,Oh43/B73 NIL-1285,Oh43,2,0,1,1,Oh43
747,Oh43/B73 NIL-1306,Oh43,5,3,2,2,Tx303/Mo17
748,Oh43/B73 NIL-1307,Oh43,5,4,1,1,Tx303
749,Oh43/B73 NIL-1308,Oh43,1,1,0,1,NC358
750,Oh43/B73 NIL-1313,Oh43,1,0,0,1,Oh43
751,Tx303/B73 NIL-1005,Tx303,4,2,0,2,Tx303/Mo17
752,Tx303/B73 NIL-1010,Tx303,5,2,0,2,Tx303/Mo17
753,Tx303/B73 NIL-1011A,Tx303,2,1,0,2,Tx303/Mo17
754,Tx303/B73 NIL-1015,Tx303,2,1,1,1,Oh43
755,Tx303/B73 NIL-1017,Tx303,2,2,0,1,NC358
756,Tx303/B73 NIL-1019,Tx303,4,4,0,1,NC358
757,Tx303/B73 NIL-1025,Tx303,1,1,0,1,NC358
758,Tx303/B73 NIL-1028,Tx303,2,0,0,1,Tx303
759,Tx303/B73 NIL-1030,Tx303,1,0,0,1,Tx303
760,Tx303/B73 NIL-1037,Tx303,2,0,0,1,Tx303
761,Tx303/B73 NIL-1045,Tx303,2,2,0,1,NC358
762,Tx303/B73 NIL-1062,Tx303,3,0,0,1,Tx303
763,Tx303/B73 NIL-1072,Tx303,3,2,1,1,Mo17
764,Tx303/B73 NIL-1073,Tx303,3,1,0,2,Mo17/Tx303
765,Tx303/B73 NIL-1077,Tx303,2,0,0,1,Tx303
766,Tx303/B73 NIL-1078,Tx303,1,1,0,1,NC358
767,Tx303/B73 NIL-1079A,Tx303,3,0,0,1,Tx303
768,Tx303/B73 NIL-1079B,Tx303,4,0,0,1,Tx303
769,Tx303/B73 NIL-1080,Tx303,3,1,0,2,NC358/Tx303
770,Tx303/B73 NIL-1085C,Tx303,2,2,0,1,Oh43
771,Tx303/B73 NIL-1102,Tx303,2,0,0,1,Tx303
772,Tx303/B73 NIL-1104,Tx303,1,0,0,1,Tx303
773,Tx303/B73 NIL-1107,Tx303,5,0,0,1,Tx303
774,Tx303/B73 NIL-1111,Tx303,5,0,0,1,Tx303
775,Tx303/B73 NIL-1122,Tx303,2,0,1,1,Tx303
776,Tx303/B73 NIL-1123,Tx303,3,0,0,1,Tx303
777,Tx303/B73 NIL-1133,Tx303,3,0,0,1,Tx303
778,Tx303/B73 NIL-1151,Tx303,5,1,3,2,Tx303/B73
779,Tx303/B73 NIL-1164,Tx303,3,1,0,2,Tx303/Mo17
780,Tx303/B73 NIL-1166,Tx303,5,0,0,1,Tx303
781,Tx303/B73 NIL-1178,Tx303,2,0,0,1,Tx303
782,Tx303/B73 NIL-1186,Tx303,2,0,0,1,Tx303
783,Tx303/B73 NIL-1187,Tx303,2,0,1,1,Tx303
784,Tx303/B73 NIL-1193,Tx303,2,0,1,1,Tx303
785,Tx303/B73 NIL-1201,Tx303,7,5,2,1,Mo17
786,Tx303/B73 NIL-1203,Tx303,1,0,0,1,Tx303
787,Tx303/B73 NIL-1208,Tx303,4,0,1,1,Tx303
788,Tx303/B73 NIL-1209A,Tx303,3,0,0,1,Tx303
789,Tx303/B73 NIL-1209C,Tx303,13,10,3,2,B73/Mo17
790,Tx303/B73 NIL-1214,Tx303,1,1,0,1,Oh43
791,Tx303/B73 NIL-1218,Tx303,7,4,3,2,B73/Mo17
792,Tx303/B73 NIL-1220,Tx303,1,0,0,1,Tx303
793,Tx303/B73 NIL-1231,Tx303,1,0,0,1,Tx303
794,Tx303/B73 NIL-1241,Tx303,1,0,0,1,Tx303
795,Tx303/B73 NIL-1246,Tx303,2,1,1,1,B73
796,Tx303/B73 NIL-1248,Tx303,2,0,1,1,Tx303
797,Tzi8/B73 NIL-1021,Tzi8,2,0,1,1,Tzi8
798,Tzi8/B73 NIL-1026,Tzi8,2,0,1,1,Tzi8
799,Tzi8/B73 NIL-1027,Tzi8,2,0,0,1,Tzi8
800,Tzi8/B73 NIL-1034,Tzi8,4,1,0,2,Tzi8/B73
801,Tzi8/B73 NIL-1036,Tzi8,4,1,1,2,Tzi8/B73
802,Tzi8/B73 NIL-1039,Tzi8,2,0,0,1,Tzi8
803,Tzi8/B73 NIL-1041,Tzi8,2,0,0,1,Tzi8
804,Tzi8/B73 NIL-1045A,Tzi8,3,0,0,1,Tzi8
805,Tzi8/B73 NIL-1056,Tzi8,2,0,1,1,Tzi8
806,Tzi8/B73 NIL-1060A,Tzi8,3,0,0,1,Tzi8
807,Tzi8/B73 NIL-1060B,Tzi8,3,0,0,1,Tzi8
808,Tzi8/B73 NIL-1064,Tzi8,1,0,1,0,NA
809,Tzi8/B73 NIL-1069,Tzi8,1,0,0,1,Tzi8
810,Tzi8/B73 NIL-1072,Tzi8,2,0,1,1,Tzi8
811,Tzi8/B73 NIL-1088,Tzi8,3,0,1,1,Tzi8
812,Tzi8/B73 NIL-1101,Tzi8,10,5,4,3,Tzi8/Mo17/Oh43
813,Tzi8/B73 NIL-1107,Tzi8,9,5,2,4,B73/Tzi8/Mo17/Oh43
