Method,nir,germ,gert,p,r,B73hetMean,DonorhetMean,NILhetMean,B73homozIntroMean,DonorhomozIntroMean,NILhomozIntroMean,PercNILsNoIntro
Chip,0.001,0.0001,0.0001,0.1,0.0007416930379746836,0.0,0.009854216112869199,0.0022450930530440024,0.0,0.4968725276898735,0.02418507949065702,0.0
Chip,0.001,0.0001,0.0001,0.1,0.0014833860759493672,0.0,0.015313900975738398,0.0024982105183845686,0.0,0.4598744066455696,0.02244739865883062,0.0
Chip,0.001,0.0001,0.0001,0.1,0.0029667721518987344,0.0,0.015365407436708861,0.0023616448161543095,0.0,0.4606428830432489,0.022482717374924653,0.0
Chip,0.001,0.0001,0.0001,0.25,0.0007416930379746836,0.0,0.007987621967299576,0.0021144138034960825,0.0,0.49834149195675104,0.024274553571428572,0.0
Chip,0.001,0.0001,0.0001,0.25,0.0014833860759493672,0.0,0.009157848760548525,0.0021885831072935504,0.0,0.4659707113660337,0.02274643045509343,0.0
Chip,0.001,0.0001,0.0001,0.25,0.0029667721518987344,0.0,0.01028274986814346,0.002128541289933695,0.0,0.4645985792457806,0.02266402011754069,0.0
Chip,0.001,0.0001,0.0001,0.5,0.0007416930379746836,0.0,0.007062565928270043,0.0020378899186256783,0.0,0.5050496934335443,0.02458535827305606,0.0
Chip,0.001,0.0001,0.0001,0.5,0.0014833860759493672,0.0,0.007581751054852321,0.0020602584388185654,0.0,0.4670873714398735,0.022786458333333336,0.0
Chip,0.001,0.0001,0.0001,0.5,0.0029667721518987344,0.0,0.008179226002109704,0.002001393911995178,0.0,0.4846613759229958,0.023683553722121758,0.0
Chip,0.001,0.0001,0.0001,0.75,0.0007416930379746836,0.0,0.006860660601265823,0.002033180756479807,0.0,0.5165727188818566,0.02507275655515371,0.0
Chip,0.001,0.0001,0.0001,0.75,0.0014833860759493672,0.0,0.007579690796413502,0.0020649676009644367,0.0,0.4850033788238397,0.023712985985533452,0.0
Chip,0.001,0.0001,0.0001,0.75,0.0029667721518987344,0.0,0.007690944752109705,0.001953125,0.0,0.48514553665611815,0.02370474495177818,0.0
Chip,0.001,0.0001,0.0001,0.9,0.0007416930379746836,0.0,0.006491874340717299,0.002019053270042194,0.0,0.5268801918512659,0.025655515370705245,0.0
Chip,0.001,0.0001,0.0001,0.9,0.0014833860759493672,0.0,0.007522003560126583,0.0020649676009644367,0.0,0.4851043314873418,0.023711808694996984,0.0
Chip,0.001,0.0001,0.0001,0.9,0.0029667721518987344,0.0,0.0076827037183544306,0.0019566568716094033,0.0,0.48518262130801687,0.023712985985533452,0.0
Chip,0.001,0.0001,0.001,0.1,0.0007416930379746836,0.0,0.011988643855485231,0.00241933205244123,0.0,0.49531085179324896,0.02410973289632309,0.0
Chip,0.001,0.0001,0.001,0.1,0.0014833860759493672,0.0,0.01761933016877637,0.0026230033152501507,0.0,0.45834775514240506,0.022374406645569618,0.0
Chip,0.001,0.0001,0.001,0.1,0.0029667721518987344,0.0,0.021230963212025316,0.0026477264165159736,0.0,0.4584837321993671,0.022374406645569618,0.0
Chip,0.001,0.0001,0.001,0.25,0.0007416930379746836,0.0,0.010736006724683543,0.0022651069921639545,0.0,0.49607726793248946,0.024163888261000604,0.0
Chip,0.001,0.0001,0.001,0.25,0.0014833860759493672,0.0,0.010983237737341773,0.002285120931283906,0.0,0.4647345563027426,0.022694629671488848,0.0
Chip,0.001,0.0001,0.001,0.25,0.0029667721518987344,0.0,0.011691966640295358,0.002186228526220615,0.0,0.4635437269251055,0.022625169529837254,0.0
Chip,0.001,0.0001,0.001,0.5,0.0007416930379746836,0.0,0.009672913370253165,0.002213306208559373,0.0,0.5028246143196203,0.02446409734779988,0.0
